ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
1,null,Mycobacterium tuberculosis infection,null,Phase 2a Clinical,C2A,"ID93 vaccine (GLA-SE adjuvant, TB), IDRI/ Quratis",68617,60,ID93,60,null,Phase IIa ID93 + GLA-SE Vaccine Trial in TB Patients After Treatment Completion,IDRI-TBVPX-203; NCT02465216,Infectious Disease Research Institute,231367,"JUNE     , 30, 2015",Completed
1,T-cell surface glycoprotein CD4,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,"lamivudine + abacavir + zidovudine, GSK",26574,70,lamivudine + abacavir + zidovudine,70,THIRST,Tuberculosis and HIV Immune Reconstitution Syndrome Trial (THIRST),NCT00851630; Pro00013131; THIRST,Duke University,47398,"JUNE     , 30, 2004",Completed
2,null,Mycobacterium tuberculosis infection,rifampicin,Phase 2a Clinical,C2A,SQ-109,31010,90,SQ109,90,SQ109EBA,EBA of SQ-109 in Adult Subjects with Pulmonary TB,20100606; LMU-IMPH-SQ109-01; NCT01218217; PACTR201009000252144; SQ109EBA,Ludwig-Maximilians University of Munich,71188,"NOVEMBER , 30, 2010",Completed
1,null,Mycobacterium tuberculosis infection,null,Phase 1 Clinical,C1,midazolam hydrochloride,44303,37,midazolam; rifapentine,37,TBTC S29B,"Pharmacokinetics, Safety and Tolerability of Escalating Rifapentine Doses in Healthy Volunteers",CDC-NCHHSTP-5779; NCT01162486; TBTC S29B; TBTC S29B,Johns Hopkins University,68204,"APRIL    , 30, 2010",Completed
1,Alanine transaminase; Aspartate aminotransferase; Blood platelets; Body temperature; CD40 ligand; Creatinine; Erythrocytes; Hemoglobin; Interferon gamma; Interleukin-2; Leukocyte count; T-cell surface glycoprotein CD8 alpha chain; Tumor necrosis factor,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,"MTB72F vaccine (tuberculosis), GSK/ IAVI",9490,240,M-72,240,null,Safety and Immunogenicity Study of a Candidate Tuberculosis Vaccine in HIV-positive Adults,113935; NCT01262976,GlaxoSmithKline plc,73200,"JANUARY  , 17, 2011",Completed
3+,C-reactive protein,Mycobacterium tuberculosis infection,null,Phase 2/Phase 3 Clinical,C23,atorvastatin,2807,null,"atorvastatin; dexamethasone; dexamethasone (decadron); once-daily naproxen (oral controlled release, pain), Alvogen; once-daily naproxen (oral controlled release, pain), Alvogen",null,null,Paradoxical Tuberculosis Immune Reconstitution Inflammatory Syndrome (TB-IRIS) Treatment Trial,NCT01442428; WS967180,University of Minnesota - Clinical and Translational Science Institute,199754,"JANUARY  , 31, 2014",Terminated
1,Ag85B; CD4+; CD8+; IFN-alpha; IFN-gamma; IL-2; PPD,Mycobacterium tuberculosis infection,null,Phase 1b Clinical,C1B,VPM-1002,55569,24,VPM-1-002,24,null,Dose-Escalation Study on Safety and Immunogenicity of VPM-1-002 in Comparison to BCG in Healthy Volunteers in South Africa,DOH-27-0210-3083; NCT01113281; VPM1002-ZA-1.10TB,Vakzine Projekt Management GmbH,65984,"APRIL    , 30, 2010",Completed
1+,null,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,moxifloxacin,12978,216,ethambutol; isoniazid; moxifloxacin; pyrazinamide; pyridoxine; rifampin; rifapentine,121,null,Rifapentine Plus Moxifloxacin for Treatment of Pulmonary Tuberculosis,06-0018; NCT00728507,Johns Hopkins University,23035,"NOVEMBER , 30, 2009",Terminated
2+,null,Mycobacterium tuberculosis infection,null,Phase not specified,NS,efavirenz,10172,null,efavirenz; rifabutin,null,USPHS-23,Intensive Pharmacokinetics of the Nelfinavir-Rifabutin Interaction in Patients With HIV-Related Tuberculosis Treated With a Rifabutin-Based Regimen,NCRR-M01RR00030-0162; NCT00018083; USPHS-23,National Institutes of Health,10648,"JULY     , 02, 2001",Recruiting
4,T-cell surface glycoprotein CD4,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,efavirenz,10172,809,efavirenz; emtricitabine; tenofovir disoproxil fumarate; tenofovir disoproxil fumarate + emtricitabine,780,STRIDE,Immediate Versus Deferred Start of Anti-HIV Therapy in HIV Infected Adults Being Treated for Tuberculosis,1U01AI068636; ACTG A5221; ACTG A5221; NCT00108862; STRIDE,AIDS Clinical Trials Group,10681,"AUGUST   , 31, 2006",Completed
