AdverseSummary,Description,DevStatus,DevStatusId,Drugs,Indications,OutcomeSummary,ProtocolTitle,References,TreatmentSummary,TrialId,TrialStatus
"<AdverseEvents><para>In October 2012, results showed that 44% patients had asymptomatic ALT elevation and 11% had symptomatic hepatotoxicity requiring <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink>/<ulink linkType=""Drug"" linkID=""7310"">ritonavir</ulink> discontinuation. At 48 weeks, all 13 patients who remained on <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink>/<ulink linkType=""Drug"" linkID=""7310"">ritonavir</ulink> treatment had HIV RNA &lt; 50 copies/ml. Concomitant use of rifampicin and <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink>/<ulink linkType=""Drug"" linkID=""7310"">ritonavir</ulink> resulted in subtherapeutic <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink> concentrations. A total of 44% patients developed asymptomatic grade 3/4 transaminitis, the rate of study drug discontinuation due to hepatotoxicity was low [<ulink linkType=""Reference"" linkID=""1346141"">1346141</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>Patients received <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink>/<ulink linkType=""Drug"" linkID=""7310"">ritonavir</ulink> (600/100 mg, bid) plus <ulink linkType=""Drug"" linkID=""3474"">lamivudine</ulink> and <ulink linkType=""Drug"" linkID=""4481"">stavudine</ulink>. When rifampicin was stopped, <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink>/<ulink linkType=""Drug"" linkID=""7310"">ritonavir</ulink> was reduced to 400/100 mg, bid [<ulink linkType=""Reference"" linkID=""1346141"">1346141</ulink>].</para></ProtocolDescription>",Phase not specified,NS,indinavir; lamivudine; ritonavir; stavudine,HIV infection; Mycobacterium tuberculosis infection,"<Outcomes><para>In October 2012, results showed that the median CD4 was 26 cells/microl. The geometric means (GM) of <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink> AUC(0 to 12) and C(12) were 8.11 mgh/l and 0.03 mg/l, respectively. After stopping rifampicin and reducing <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink>/<ulink linkType=""Drug"" linkID=""7310"">ritonavir</ulink> to 400/100 bid, the GM <ulink linkType=""Drug"" linkID=""5321"">indinavir</ulink> C(12) increased to 0.68 mg/l (p = 0.004) [<ulink linkType=""Reference"" linkID=""1346141"">1346141</ulink>].</para></Outcomes>","A prospective, open-label, pilot study to evaluate the pharmacokinetics (PK)/safety/efficacy of an adjusted dose of indinavir/ritonavir (IDV/r) 600/100 mg plus two nucleoside reverse transcriptase inhibitors (NRTIs) in HIV/TB-coinfected Thais receiving rifampicin-based anti-TB treatment",null,null,100728,Status not specified
null,"<ProtocolDescription><para>As part of on-going studies conducted in the Orizaba Health Jurisdiction in southeastern      Mexico, household contacts of pulmonary TB patients who recently converted their tuberculin      test and TST positive contacts from randomly selected control households with no history of TB      within the last two years (remote contacts) would be enrolled. It has been assumed that these individuals      would be infected with Mycobacterium tuberculosis. Additional confidence that all patients      enrolled were latently infected would come from ELISPOT analysis of the response to ESAT-6 and      CFP-10. It has been  proposed to administer INH to 100 TST positive recent and 100 TST positive remote contacts for      6 months. To control for spontaneous fluctuations of biomarker levels, it has been proposed to defer      therapy by 3 months to half the patients in each group. Thus, four groups would be defined:<br/>Group A: recently converted contacts receiving isoniazid (5 mg/kg up to 300 mg daily for 6      months) immediately after recruitment.<br/>Group B: recently converted contacts receiving isoniazid (5 mg/kg up to 300 mg daily for 6      months) 3 months after recruitment.<br/>Group C:remote contacts receiving isoniazid (5 mg/kg up to 300 mg daily for 6 months)      immediately after recruitment.<br/>Group D: remote contacts receiving isoniazid (5 mg/kg up to 300 mg daily for 6 months) 3      months after recruitment.</para><para>All contacts would undergo clinical evaluation at enrolment and review. The development of      active TB would trigger withdrawal and full treatment. Fortnightly clinical review of group B      during the deferred phase would be undertaken. ELISPOT analysis would be performed on all      patients at 0, 1, 4, 13, 26, and 40 weeks in groups A and C, and at 0, 13, 14, 17, 26, 40 and      54 weeks in groups B and D. A subset of ten patients per group would be sampled for expression      analysis at 0, 4, 26, and 40 weeks (groups A and C) and at 0, 13, 17 and 40 weeks in groups B      and D (160 hybridizations in total).</para></ProtocolDescription>",Phase 4 Clinical,C4,null,Mycobacterium tuberculosis infection,null,Treatment of Latent Tuberculosis Infection With Isoniazid,137; NCT00293228,null,102504,Completed
null,"<ProtocolDescription><para>The primary objectives of this  trial were to compare the safety and microbiological activity of a <ulink linkType=""Drug"" linkID=""12978"">moxifloxacin</ulink>-containing regimen (isoniazid, rifampin, pyrazinamide, <ulink linkType=""Drug"" linkID=""12978"">moxifloxacin</ulink> [HRZMoxi]) to a control regimen (isoniazid, rifampin, pyrazinamide, ethambutol [HRZE]) in the first  2 months of treatment of sputum smear-positive pulmonary tuberculosis.  In addition, the study  evaluated whether intermittent administration (tiw after the first 2 weeks) of these regimens affects their tolerability and microbiological activity.  The assessment of microbiological activity was sputum culture-conversion.  Improved sputum culture conversion after 2 months of treatment with a <ulink linkType=""Drug"" linkID=""12978"">moxifloxacin</ulink>-containing regimen supported phase III clinical trials of <ulink linkType=""Drug"" linkID=""12978"">moxifloxacin</ulink> in treatment regimens of less than the current 6 month standard regimens.</para></ProtocolDescription>",Phase 2 Clinical,C2,moxifloxacin,Mycobacterium tuberculosis infection,null,TBTC Study 27: Moxifloxacin versus Ethambutol for TB Treatment,CDC-NCHSTP-3716; NCT00140309; TBTC-27,null,10684,Completed
"<AdverseEvents><para>Death occured during 36 months in 25 patients in 6EH arm (2·8/100PY)  and 20 patients in 36H arm (2·2/100PY). Male patients and patients with CD4 count &lt; 200 cell/mm3 showed significantly high death rate (5.20, 1.80, respectively). The median CD4 at the time of death   in 6EH and 36H arm were 66 and 73, respectively. Progressive HIV disease with complications/opportunistic infections  seems to be the common cause of death.  The common adverse  drug reactions observed during the study were arthralgia, nausea, vomiting, gastritis, jaundice, neuropathy, events related to cutaneous. Other kinds of  reactions were seen in 11 patients in each group [<ulink linkType=""Reference"" linkID=""1366342"">1366342</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>Study population and enrollment: all HIV positive patients seeking care at one of the study centers, &gt; age of 15 years, not suffering from a serious illness, non-pregnant, and in whom TB would be ruled out using the enhanced screening process, will be enrolled in the study. The consent form for prophylaxis trial would be read to the patients in the local language and written consent would be obtained from willing patients.<br/>Randomization and dosing: all patients enrolled in the prevention trial would be randomized to one of the study groups using a permuted block randomization scheme of four. Stratification would be done by Mantoux reading (> 5 mm and &lt;/= 5 mm). The group assignment list would be generated centrally before the start of trial and sequentially numbered sealed envelopes containing the study group assigned would be prepared independently. At the initiation of prophylaxis, each patient would be counseled about the importance of taking drugs regularly. Patients would be asked to return the empty packets as well as unused tablets at each monthly visit.<br/>The treatment regimens in each study group would be as follows:<br/>Ethambutol (800 mg) and isoniazid (300 mg) daily for 6 months, self-administered,           collected once in 15 days.<br/>Isoniazid (300 mg) daily for three years with fortnightly collection of drugs.<br/>Patients in           both study groups would receive 10 mg of pyridoxine daily during treatment.</para></ProtocolDescription>",Phase 3 Clinical,C3,null,Mycobacterium tuberculosis infection,"<Outcomes><para>In December 2012, results were published. A total of 22 out of 344 subjects in 6EH arm and 13 out of 339 subjects in 36H arm developed tuberculosis with a incidence rates of 2.4/100py and 1.6/100py, respectively with an adjusted rate ratio (aIRR) of 1.6.  The aIRR of TST-positive subjects in 6EH was 1.7 compared to 36H arm (p = 0.8). Among 15 subjects who were confirmed with tuberculosis, four     isolates were resistant to isoniazid and another two were   multidrug resistant (1 to isoniazid and rifampicin and 1 to streptomycin, isoniazid and rifampicin). The rate of TB incidence in subjects who were intent to treat (ITT)  was 2.33    in 6EH arm  and  1.39 in 36H arm. The aIRR for TB incidence in     6 EH  subjects in    ITT was 1.15  [<ulink linkType=""Reference"" linkID=""1366342"">1366342</ulink>].   </para></Outcomes>",Preventive Therapy for Tuberculosis in HIV Infected Persons,NCT00351702; TRC20B,"<Regimens><para>Patients received isoniazid 300 mg and ethambutol 800 mg daily for 6 months (6EH)  or isoniazid 300 mg daily for 36 monnth (36H). Both the study groups received 10 mg daily of pyridoxine during the treatment period and if CD4 count was &lt; 250 cells/mm3 for the entire period, one tablet of co-trimoxazole DS was taken daily [<ulink linkType=""Reference"" linkID=""1366342"">1366342</ulink>].</para></Regimens>",107916,Completed
null,"<ProtocolDescription><para>The primary objective of this randomized, open-label, multiple dose, phase I/II clinical trial would be to evaluate and compare the early bactericidal activity (EBA) of the new fluoroquinolone antibiotics <ulink linkType=""Drug"" linkID=""12978"">moxifloxacin</ulink>, <ulink linkType=""Drug"" linkID=""3492"">levofloxacin</ulink>, and <ulink linkType=""Drug"" linkID=""7017"">gatifloxacin</ulink>, as well as qd and bid 600 mg doses of <ulink linkType=""Drug"" linkID=""11036"">linezolid</ulink> compared with an isoniazid (INH) control arm in patients with newly-diagnosed sputum smear-positive pulmonary tuberculosis (TB).</para><para>Secondary study objectives would be: to compare the results of sputum MTB mRNA clearance with results of a standard EBA study (change in sputum viable counts [CFU]); to compare the rate of clearance of sputum cytokine proteins with results of a standard EBA assay (CFU) (change in sputum viable counts [CFU]); to determine the pharmacokinetics (PK) of the study drugs (<ulink linkType=""Drug"" linkID=""12978"">moxifloxacin</ulink>, <ulink linkType=""Drug"" linkID=""3492"">levofloxacin</ulink>, <ulink linkType=""Drug"" linkID=""7017"">gatifloxacin</ulink>, <ulink linkType=""Drug"" linkID=""11036"">linezolid</ulink>, and isoniazid) in patients with smear-positive pulmonary TB; and  to demonstrate that lack of EBA activity is not due to low serum drug concentrations.</para><para>The primary study endpoint would be the projected net proportionate difference in sputum bacillary load (quantitative colony forming units [CFU] on solid media) as measured by area under the curve while receiving a single study drug. Secondary study endpoints would be: rate of clearance of sputum MTB mRNA and proteins, such as 85 B alpha antigen and alpha crystalline;  rate of clearance of sputum cytokine proteins; and  plasma drug concentration for determination of PK profile of each study drug.</para><para>Volunteers  would be enrolled and admitted to the Centro de Pesquisa (Clinical Research Ward) at the Hospital Universitario Cassiano Antonio de Moraes of the Universidade Federal do Espirito Santo in Vitoria. The study subjects would be randomized to receive <ulink linkType=""Drug"" linkID=""7017"">gatifloxacin</ulink> (400 mg qd), <ulink linkType=""Drug"" linkID=""3492"">levofloxacin</ulink> (1000 mg qd), <ulink linkType=""Drug"" linkID=""12978"">moxifloxacin</ulink> (400 mg qd), or INH (control), and after these arms were enrolled, they would be randomized to receive either <ulink linkType=""Drug"" linkID=""11036"">linezolid</ulink> (600 mg qd) or <ulink linkType=""Drug"" linkID=""11036"">linezolid</ulink> (600 mg bid) or INH (control). During the inpatient stay, study drugs would be given for 7 days following a 2-day drug-free period when baseline sputum bacillary counts was measured. The 7-day duration of the study drug phase of the study would allow  measurement of sputum bactericidal activity both during the first 2 days of study drug administration and between days 2 and 7 of study drug administration to gain additional information on the possible sterilizing activity of the drugs. The extended nature of these EBA studies would allow  assessment of the possibility of sterilizing activity in the study drugs that would be missed if a shorter EBA study was performed. Sputum specimens would be collected for 2 days prior to initiation of study drug in order to establish a baseline quantitative culture result and then specimens would be collected daily thereafter. Sputum specimens would be processed to evaluate changes in mycobacterial mRNA/proteins and cytokine proteins. PK studies would be performed after 5 days of study drug administration (day 5). </para><para>Safety evaluations including clinical examination, complete blood counts, and serum total bilirubin, aspartate aminotransferase (AST), and creatinine, and urinalysis would be  followed to monitor for drug toxicity. Drug susceptibility testing would be performed on an initial sputum isolate and would be repeated after completion of 7 days of study drugs, and on isolates from patients with positive sputum cultures at the day 42 study visit to assess for the development of acquired drug resistance. Isolates would be tested against INH, rifampicin, pyrazinamide, ethambutol and the subject's assigned study drug. Patients who were found to be resistant to their assigned study drug at baseline would not be analyzed. After the initial treatment, all subjects would  receive 6 months of standard TB treatment outside of the hospital.</para></ProtocolDescription>",Phase 1/Phase 2 Clinical,C12,gatifloxacin; levofloxacin; linezolid; moxifloxacin,Mycobacterium tuberculosis infection,null,"Early Bactericidal Activity of Linezolid, Gatifloxacin, Levofloxacin, Isoniazid (INH) and Moxifloxacin in HIV Negative Adults With Initial Episodes of Sputum Smear-Positive Pulmonary Tuberculosis",01-553; NCT00396084; TBRU 10; TBRU 10,null,10869,Completed
null,null,Phase 1 Clinical,C1,MVA-85A,Mycobacterium tuberculosis infection,null,Safety and Immunogenicity of MVA85A in Volunteers Latently Infected With TB,NCT00456183; TB007,null,10941,Completed
null,<ProtocolDescription><para>The patients receive <ulink linkType="Drug" linkID="3700">nevirapine</ulink> at doses of either 400 or 600 mg bid.</para></ProtocolDescription>,Phase 2 Clinical,C2,nevirapine,HIV infection; Mycobacterium tuberculosis infection,null,Efficacy Safety Study Comparing two Doses of NVP After Initiating Rifampin-Containing TB Therapy,HIV-NAT 033; NCT00476853,null,10946,Completed
null,<ProtocolDescription><para>Patients with tuberculosis and healthy volunteers would be included in the study [<ulink linkType="Reference" linkID="1413683">1413683</ulink>].</para></ProtocolDescription>,Phase not specified,NS,null,Mycobacterium tuberculosis infection,null,The Role of IL-17 in Childhood Tuberculosis,UKCRN 8793,null,126451,No longer recruiting
null,null,Phase 4 Clinical,C4,nevirapine,HIV infection; Mycobacterium tuberculosis infection,null,Nevirapine Drug Levels in HIV Positive Patients Also Receiving Rifampicin for Tuberculosis,CPR 004; NCT00617643,null,11184,Completed
null,"<ProtocolDescription><para>Patients would be offered to participate in the study after the first 6 weeks of the      nationally recommended tuberculosis treatment. All the enrolled patients would be switched to <ulink linkType=""Drug"" linkID=""4229"">rifabutin</ulink>      and randomized, 2 weeks later, to one of the three study ARV regimens. The <ulink linkType=""Drug"" linkID=""4229"">rifabutin</ulink> doses would      be then adapted to the allocated ARV regimen according to a cross-over scheme. Three full      pharmacokinetics profile would be performed at different time point: before initiation of      ARV, after 1 month of the first rifabutin dosage and 1 month after the second rifabutin dosage.</para><para>This study would include three arms:<br/>Arm 1a: patients would receive <ulink linkType=""Drug"" linkID=""4481"">stavudine</ulink> (d4T)/<ulink linkType=""Drug"" linkID=""3474"">lamivudine</ulink> (3TC)/<ulink linkType=""Drug"" linkID=""10172"">efavirenz</ulink> (600 mg) + isoniazid (INH)/rifabutin (450 mg qd x 4 weeks and then switch to 600 mg qd x 4 weeks).<br/>Arm 1b: patients would receive stavudine/lamivudine/efavirenz (600 mg) + INH/rifabutin (600 mg qd x 4 weeks and then switch to 450 mg qd x 4 weeks).<br/>Arm 2a: patients would receive stavudine/lamivudine/<ulink linkType=""Drug"" linkID=""3700"">nevirapine</ulink> (200 mg) + INH/rifabutin (300 mg qd x 4 weeks and then switch to 450 mg qd x 4 weeks).<br/>Arm 2b: patients would receive stavudine/lamivudine/nevirapine (200 mg) + INH/rifabutin (450 mg qd x 4 weeks and then switch to 300 mg qd x 4 weeks).<br/>Arm 3a: patients would receive stavudine/lamivudine/<ulink linkType=""Drug"" linkID=""14681"">lopinavir + ritonavir</ulink> (two tablets twice-daily) + INH/rifabutin (150 mg tiw x 4 weeks and then switch to 150 mg qd x 4 weeks).<br/>Arm 3b: patients would receive stavudine/lamivudine/lopinavir + ritonavir (two tablets twice-daily) + INH/rifabutin (150 mg qd x 4 weeks and then switch to 150 mg  tiw x 4 weeks).</para></ProtocolDescription>",Phase 2 Clinical,C2,efavirenz; lamivudine; lopinavir + ritonavir; nevirapine; rifabutin; stavudine,HIV infection; Mycobacterium tuberculosis infection,"<Outcomes><para>In October 2015, results were published which evaluated the effect of SLCO1B1 polymorphisms on rifabutin pharmacokinetics in African HIV-infected tuberculosis patients (n = 35). Analysis using non-linear mixed-effects modeling indicated weight, sex and a 30% increased bioavailability among heterozygous carriers of SLCO1B1 rs1104581 (previously associated with low rifampin concentrations) as the influential covariates for the pharmacokinetics [<ulink linkType=""Reference"" linkID=""1743854"">1743854</ulink>].</para></Outcomes>",Pharmacokinetics of Rifabutin Combined With Antiretroviral Therapy in Patients With TB/HIV co-Infection in South Africa,ANRS12150a; NCT00640887,<Regimens><para>Patients received multiple-doses of rifabutin before initiation of ARV [<ulink linkType="Reference" linkID="1743854">1743854</ulink>].</para></Regimens>,11187,Completed
