Ancestry,DevStatus,DevStatusId,Drug,DrugId,Endpoint,Indication,IndicationId,OriginatorSponsored,Patients,ProtocolTitle,TrialEndDateActual,TrialEndDateCalc,TrialEndDateEstimate,TrialEndDateGiven,TrialId,TrialStartDate,TrialStatus
null,Phase 1 Clinical,C1,"hydrocodone (oral abuse-resistant (BEADTEK), controlled-release (SODAS)), Pernix",59692,"Safety,Pharmacokinetics",null,null,N,12,To Assess the Rate and Extent of Absorption of Hydrocodone From 20 mg Hydrocodone Bitartrate Extended-Release Capsules,2002-06-30 00:00:00,null,null,2002-06-30 00:00:00,182510,2002-06-30 00:00:00,Completed
null,Phase 1b Clinical,C1B,"risperidone (sustained release transdermal jet DosePro/SABER, schizophrenia/bipolar disorder), DURECT",72458,"Safety,Pharmacokinetics",Schizoaffective disorder,1257,N,60,Safety and PK Trial With Injectable ZX-003 (Risperidone-SABER) Compared to Risperdal Consta in Stable Schizophrenia,2015-09-30 00:00:00,2017-03-28 00:00:00,null,2015-09-30 00:00:00,226397,2015-02-28 00:00:00,Completed
null,Phase 1b Clinical,C1B,"risperidone (sustained release transdermal jet DosePro/SABER, schizophrenia/bipolar disorder), DURECT",72458,"Safety,Pharmacokinetics",Schizophrenia,299,N,60,Safety and PK Trial With Injectable ZX-003 (Risperidone-SABER) Compared to Risperdal Consta in Stable Schizophrenia,2015-09-30 00:00:00,2017-03-28 00:00:00,null,2015-09-30 00:00:00,226397,2015-02-28 00:00:00,Completed
null,Phase 3 Clinical,C3,"fenfluramine hydrochloride (low-dose oral, Dravet syndrome/Lennox Gastaut), Zogenix",88501,Efficacy,Epilepsy,119,N,10,Treatment of Sunflower Syndrome With ZX-008 (Fenfluramine Hydrochloride) in Children and Young Adults (Ages 4 to 25),null,2021-05-16 00:00:00,2020-02-29 00:00:00,2020-02-29 00:00:00,365079,2019-02-28 00:00:00,Not yet recruiting
null,Phase 3 Clinical,C3,"fenfluramine hydrochloride (low-dose oral, Dravet syndrome/Lennox Gastaut), Zogenix",88501,Efficacy,Tonic clonic epilepsy,2992,N,10,Treatment of Sunflower Syndrome With ZX-008 (Fenfluramine Hydrochloride) in Children and Young Adults (Ages 4 to 25),null,2021-05-16 00:00:00,2020-02-29 00:00:00,2020-02-29 00:00:00,365079,2019-02-28 00:00:00,Not yet recruiting
null,Phase 4 Clinical,C4,"sumatriptan (needleless delivery, Intraject), Endo",47759,"Safety,Efficacy",Migraine,210,N,212,Evaluation of Treatment Satisfaction and Preference for Sumavel DosePro in the Treatment of Migraine,2010-04-30 00:00:00,2011-04-26 12:00:00,null,2010-04-30 00:00:00,76404,2009-11-30 00:00:00,Completed
null,Phase 1 Clinical,C1,"risperidone (sustained release transdermal jet DosePro/SABER, schizophrenia/bipolar disorder), DURECT",72458,"Safety,Pharmacokinetics",Schizophrenia,299,N,30,A Safety and PK Study of Injectable Risperidone-SABER and the DosePro Delivery System in Patients With Schizophrenia,2013-04-30 00:00:00,2014-07-31 00:00:00,null,2013-04-30 00:00:00,87204,2012-07-31 00:00:00,Completed
null,Phase not specified,NS,"fenfluramine hydrochloride (low-dose oral, Dravet syndrome/Lennox Gastaut), Zogenix",88501,"Safety,Efficacy",Dravet syndrome,5614,N,15,A Long-term Prospective study of Fenfluramine in the Patients with Dravet Syndrome,null,null,null,null,162111,null,Status not specified
null,Phase 1b Clinical,C1B,risperidone,4236,"Safety,Pharmacokinetics",Schizoaffective disorder,1257,N,60,Safety and PK Trial With Injectable ZX-003 (Risperidone-SABER) Compared to Risperdal Consta in Stable Schizophrenia,2015-09-30 00:00:00,2017-03-28 00:00:00,null,2015-09-30 00:00:00,226397,2015-02-28 00:00:00,Completed
null,Phase 1b Clinical,C1B,risperidone,4236,"Safety,Pharmacokinetics",Schizophrenia,299,N,60,Safety and PK Trial With Injectable ZX-003 (Risperidone-SABER) Compared to Risperdal Consta in Stable Schizophrenia,2015-09-30 00:00:00,2017-03-28 00:00:00,null,2015-09-30 00:00:00,226397,2015-02-28 00:00:00,Completed
