AdverseSummary,Description,DevStatus,DevStatusId,Drugs,Indications,OutcomeSummary,ProtocolTitle,References,TreatmentSummary,TrialId,TrialStatus
null,"<ProtocolDescription><para>Eligible children will receive a standard dose (0.5 ml) of MMR vaccine  during      the first medical visit (V1). The lot number and the expiration date will both be recorded      on the patient's case report form (CRF). A serological evaluation 4 to 8 weeks after MMR will      identify children requiring an additional dose given 1 to 2 months apart, as currently      recommended for subjects one  year-old or with limited immune competence (ie, HIV-infected      children). Serological evaluation 4 to 8 weeks after the second dose or at the one-year      follow-up will identify eventual non-responder requiring a third dose. Three will be the      maximal number of administrated dose according to this protocol. The persistence of      measles-specific antibodies will be assessed yearly, when patients come for their routine      visit to the transplant center.</para><para>Children who do not need MMR immunization because of protective levels will be monitored      yearly for maintenance of antibody levels during routine yearly visits/ blood samplings and      will not have further intervention.</para></ProtocolDescription>",Phase 4 Clinical,C4,null,Measles virus infection,null,Induction of Immunity Against Measles in Pediatric Liver Transplant Recipients,12-226 (MatPed 12-048); MMR in pediatric OLT; MMRinOLT; NCT01770119,null,105073,Recruiting
null,"<ProtocolDescription><para>This study was designed to answer whether PCV (<ulink linkType=""Drug"" linkID=""4144"">Prevnar</ulink> and <ulink linkType=""Drug"" linkID=""7080"">Pneumovax 23</ulink>) immunizations were safe and effective. The immune responses to prior immunizations and responsiveness to booster doses of vaccines against measles, pertussis, and hepatitis B virus of children on HAART would also be examined. Answers to these questions would determine whether these children were likely to be protected against these clinically relevant pathogens and whether they should routinely receive booster doses of these vaccines after a period of HAART.</para><para>Patients would be  stratified on the basis of CD4 percentage and age. Patients that previously received a primary hepatitis B vaccine (HBV) series would receive an HBV immunization at entry. Other vaccinations may be given (based on age and/or CD4 cell measurement, and immunization status) for PCV at entry and 2 months, and measles-mumps-rubella (MMR) vaccine and PPV at 4 months. Some patients would  be administered DTaP at a 6 month visit on the basis of age, previous immunization history, and negative tetanus antibody status. Follow-up visits would be  done at 8, 12, and 24 months. Blood samples would be  collected at all clinic visits for assessment of HIV RNA, immune responses against pneumococcus, measles, pertussis, and hepatitis B virus, as well as for laboratory evaluations.</para></ProtocolDescription>",Phase not specified,NS,Pneumovax 23; Prevnar,Bordetella pertussis infection; HIV infection; Hepatitis B virus infection; Measles virus infection,null,Pneumococcal Vaccine and Routine Pediatric Immunizations in HIV-Infected Children Receiving Anti-HIV Drugs,10609; ACTG P1024; NCT00013871; P1024; PACTG 1024,null,10810,Completed
"<AdverseEvents><para>During the 42-day follow-up period after vaccination, at least one unsolicited adverse events (AE) was reported for 338 subjects in group 1, 332 in group 2 and 191 in group 3; throughout the study period, serious AEs were reported for 14, 20 and 7 subjects, respectively; the most common were SAEs were gastroenteritis (n = 1, 2 and 0), asthma (n = 1, 1, 0), bronchial hyperreactivity (n = 0, 2, 0), cellulitis (n = 2, 0, 0), febrile convulsion (n = 2, 0, 0), groin abscess (n = 2, 0, 0), pneumonia (n = 0, 0, 2), staphylococcal infection (n = 1, 1 and 0) and abscess. There were no fatal SAEs [<ulink linkType=""Reference"" linkID=""1152030"">1152030</ulink>].</para><para>In August 2012, results were published.  GSK vaccine was safe. Localized but not generalized measles/rubella-like rash and grade 3 fever was reported slightly more frequently with GSK vaccines, but antipyretic use was similar. The incidence of subjects experiencing at least 1 serious adverse event was 2.0, 2.9 and 1.8% in the GSK+4C, GSK-20C and Merck-20C groups, respectively [<ulink linkType=""Reference"" linkID=""1535254"">1535254</ulink>].<br/></para></AdverseEvents>","<ProtocolDescription><para>The study included three groups:<br/>Group 1 (MMRVR [refrigerator-stored]): subjects received a single dose of <ulink linkType=""Drug"" linkID=""17141"">Priorix-Tetra</ulink> co-administered with one dose of <ulink linkType=""Drug"" linkID=""6621"">Havrix</ulink> and <ulink linkType=""Drug"" linkID=""4144"">Prevnar</ulink> at day 0. A second dose of <ulink linkType=""Drug"" linkID=""6621"">Havrix</ulink> was administered at day 180 (study end).<br/>Group 2 (MMRVF [freezer-stored]): subjects received a single dose of <ulink linkType=""Drug"" linkID=""17141"">Priorix-Tetra</ulink> co-administered with one dose of <ulink linkType=""Drug"" linkID=""6621"">Havrix</ulink> and <ulink linkType=""Drug"" linkID=""4144"">Prevnar</ulink> at day 0. A second dose of <ulink linkType=""Drug"" linkID=""6621"">Havrix</ulink> was administered at day 180.<br/>Group 3 (Pro): subjects received a single dose of <ulink linkType=""Drug"" linkID=""47279"">ProQuad</ulink> co-administered with one dose of <ulink linkType=""Drug"" linkID=""6621"">Havrix</ulink> and <ulink linkType=""Drug"" linkID=""4144"">Prevnar</ulink> at day 0, and a second dose of <ulink linkType=""Drug"" linkID=""6621"">Havrix</ulink> at day 180.</para></ProtocolDescription>",Phase 2 Clinical,C2,Havrix; Prevnar; Priorix-Tetra; ProQuad,Measles virus infection; Mumps virus infection; Pediatric varicella zoster virus infection; Rubella virus infection,"<Outcomes><para>In June 2010, results showed that at day 42 after vaccination, seroresponse rate for antibodies against varicella virus in initially seronegative subjects was 57.1, 69.8 and 86.7% in group 1, 2 and 3, respectively, with geometric mean antibody concentrations (GMCs) of 83.8, 110.1 and 163.9 mIU/ml, respectively. At the same timepoint, seroresponse rate for antibodies against mumps virus in initially seronegative subjects was 92.3, 93.8 and 92.8% group in 1, 2 and 3, respectively; seroresponse rate for antibodies against measles virus in initially seronegative subjects was 98.4, 99.5 and 97.7%, respectively; seroresponse rate for antibodies against rubella virus in initially seronegative subjects was 98.1, 97.8, and 99.4% in respective groups. The GMCs of antibodies against hepatitis A virus were 40.5 in group 1, 40.3 in group 2 and 40.0 mIU/ml in group 3; the GMCs of antibodies against S pneumoniae serotypes were at least 3.35, 3.31 and 3.02 microg/ml in respective groups [<ulink linkType=""Reference"" linkID=""1152030"">1152030</ulink>]. </para><para>In August 2012, results were published. In all groups, seroresponse rates (day 42) were &gt; 97% for measles and rubella viruses and &gt; 92% for mumps virus. Noninferiority of both GSK+4C and GSK-20C vaccines versus Merck-20C was demonstrated for seroresponse rates to measles, mumps and rubella viruses. Seroresponse rates for varicella-zoster virus, seroresponse rates were 57.1, 69.8 and 86.7% in the GSK+4C, GSK-20C and Merck-20C groups, respectively. Noninferiority was not shown for either GSK vaccine [<ulink linkType=""Reference"" linkID=""1535254"">1535254</ulink>].</para></Outcomes>",Immunogenicity and Safety of GlaxoSmithKline Biologicals' MMRV Vaccine versus ProQuad in Children 12 to 14 Months of Age,110058; 110058_1; 2017-000454-18; BB-IND 13510; MMRV-054 PRI; NCT00578175,null,11526,Completed
null,<ProtocolDescription><para>Healthy children (n = 507) would receive  subcuaneous  injections of <ulink linkType="Drug" linkID="4645">Varivax</ulink>.</para></ProtocolDescription>,Phase 4 Clinical,C4,varicella-zoster vaccine (Varivax/Zostavax),Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,"<Outcomes><para>In May 2007, the results were published. Following <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> administration in groups, 71.9 and 47.7% of subjects reported and reported vaccine-related adverse events. Starting from day 0 to 4, injection-site erythema and swelling (mainly = 2.5 cm) and pain (mainly of mild intensity) were reported by 7.4, 3.6 and 5.4% of subjects, respectively. Other injection-site reactions, also mainly of mild intensity, were reported by 17.2% of subjects. These included injection-site varicella-like rash starting between day 3 and 9 (1.4%), erythema, swelling and pain starting from day 5 with 14.0, 8.4 and 1.8%, respectively. Fever = 39.4degC (rectal equivalent) was reported by 17.0% of subjects during the 42-day safety period and 1.8% of subjects reported varicella/varicella-like rashes mostly of mild intensity. One of the four serious adverse events following <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> (0.8%) was assessed by the investigator as possibly vaccine-related (idiopathic thrombocytopenic purpura which started on day 24 and resolved promptly) [<ulink linkType=""Reference"" linkID=""1476304"">1476304</ulink>].</para><para>In July 2009, the results were published. After <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> administration, 47.7% of children had at least one vaccine-related adverse event. Solicited injection-site reactions were reported in 13.0% of children, and 17.2% had at least one other injection-site reaction between days 0 and 42. Most reactions were small (&lt; or = 2.5 cm) or of mild intensity. Pyrexia, reported in 25.3% of children, was the most common vaccine-related systemic adverse event. Varicella or varicella-like rashes were reported in 3.2% children, of which seven cases were varicella-like rashes at the injection site [<ulink linkType=""Reference"" linkID=""1033010"">1033010</ulink>].</para></Outcomes>",Safety Study of a Refrigerator-Stable Formulation of Varivax,2004-002669-19; NCT00432731; V210-061; X04-VAR-402,"<Regimens><para>Healthy children (n = 507) received sc injections of <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> on day 0 and the measles, mumps and rubella vaccine (M-M-R II) on day 42 (n = 254) or M-M-R II on day 0 and <ulink linkType=""Drug"" linkID=""4645"">Varivax</ulink> on day 42  (n = 253) [<ulink linkType=""Reference"" linkID=""1033010"">1033010</ulink>].</para></Regimens>",11524,Completed
null,"<ProtocolDescription><para>Subjects would receive 0.5 ml V-419 im  (at 2, 3 and 4 months of age [primary series], 0.5 ml im injection at 12 or 13 months of age [booster]) +  0.5 ml  <ulink linkType=""Drug"" linkID=""34281"">Prevenar 13</ulink> im  (at 2 and 4 months of age [primary series], at 13 months of age [booster]) + 2 ml <ulink linkType=""Drug"" linkID=""22877"">RotaTeq</ulink> po (at 2, 3 and 4 months of age) + 0.5 ml <ulink linkType=""Drug"" linkID=""55366"">Nimenrix</ulink> im (at 12 months of age) + 0.5 ml <ulink linkType=""Drug"" linkID=""89684"">M-M-RvaxPRO</ulink> im or sc (at 13 months of age) with or without 0.5 ml <ulink linkType=""Drug"" linkID=""10774"">NeisVac-C</ulink> im  (at 2 and 4 months of age).</para></ProtocolDescription>",Phase 3 Clinical,C3,M-M-RvaxPRO; NeisVac-C; Nimenrix; Prevnar 13; RotaTeq; Vaxelis,Bordetella pertussis infection; Clostridium tetani infection; Corynebacterium diphtheriae infection; Haemophilus influenzae infection; Hepatitis B virus infection; Measles virus infection; Mumps virus infection; Neisseria meningitidis infection; Poliovirus infection; Rotavirus infection; Rubella virus infection,"<Outcomes><para>In December 2018, results were published. There were no notable differences in terms of antibody persistence for any V-419 vaccine antigen, whether MenC-TT conjugate vaccine was co-administered or not during the primary series, at 12 months of age. Immune responses to V-419 and MenACWY-TT vaccines were not affected by co-administration, followed by booster vaccination. The immune responses elicited by both vaccines were high, whether administered concomitantly or separately, one month after vaccination. During infancy the administration of MenC vaccine did not preclude the use of a MenACWY-TT vaccine for booster vaccination [<ulink linkType=""Reference"" linkID=""2115935"">2115935</ulink>]. </para></Outcomes>",Concomitant Administration of a New Hexavalent Vaccine With a Meningococcal Serogroup C Conjugate Vaccine in Healthy Infants During Primary Series Immunization Followed by Booster Vaccination,2012-005547-24; EUCTR2012-005547-24; HXM01C; NCT01839175,"<Regimens><para>Patients who received the V-419 vaccine (at 2, 3 and 4 months) with or without a NeisVac-C vaccine (at 2 and 4 months) in the primary series study. At 12 months of age, 312 patients were randomised to receive V-419 co-administered with MenACWY-TT vaccine (Group A; n = 104); V-419 vaccine alone (Group B; n = 105); or MenACWY-TT vaccine alone (Group C; n = 103) [<ulink linkType=""Reference"" linkID=""2115935"">2115935</ulink>]. </para></Regimens>",124248,Completed
"<AdverseEvents><para>In 2019, results were published. Compared with SC, fewer subjects in the IM group experienced injection-site AEs (17.8 and 28.6% post-dose 1, and 20.4 and 29.5% post-dose 2, respectively). From Day 0 to Day 4 post-dose 2, erythema and swelling in the IM group and SC group were 15.4 and 27.0%, and 6 and 12.5%, respectively. Most injection-site AEs started during the first four days after vaccination; their intensity was mainly mild or &lt;/= 2.5 cm was reported in both groups. The rates of fever were comparable between the two groups after each dose of ProQuad [<ulink linkType=""Reference"" linkID=""2153729"">2153729</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>Arm  1: participants would receive intramuscular  ProQuad on Day 1 and Day 30 into the deltoid muscle perpendicular to the skin, with the first dose in the right arm and the second dose in the left arm.<br/>Arm 2:  participants would receive doses of ProQuad by sc injection on Day 1 and Day 30 in the deltoid area at a 45 degree angle to the skin, with the first dose in the right arm and second dose in the left arm.<br/>Each dose of both the arms of  (0.5 ml) contains live attenuated versions of measles virus Enders Edmonston strain, mumps virus Jeryl Lynn (Level B) strain, rubella virus Wistar RA 27/3 strain, and varicella virus Oka/Merck strain.</para></ProtocolDescription>",Phase 3 Clinical,C3,ProQuad,Measles virus infection; Mumps virus infection; Pediatric varicella zoster virus infection; Rubella virus infection,"<Outcomes><para>In 2019, results were published. Compared to 2-dose regimen administered SC, ProQuad administered IM was shown to be as immunogenic for all antigens 6 weeks post-vaccination for the participants who were initially seronegative for measles, mumps, rubella, or varicella. In both the IM and SC groups, antibody response rates for all vaccine antigens 6 weeks after the second dose of ProQuad were &gt; 99%  [<ulink linkType=""Reference"" linkID=""2153729"">2153729</ulink>].</para></Outcomes>",ProQuad Intramuscular versus Subcutaneous,2006-001986-40; F05-MMRV-304; NCT00402831; V221-036,<Regimens><para>Participants (n = 405) were randomized to receive ProQuad IM or SC one month   [<ulink linkType="Reference" linkID="2153729">2153729</ulink>].</para></Regimens>,11634,Completed
null,null,Phase not specified,NS,null,Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>Results published in June 2004 showed that, MMR vaccination failed to induce adequate and persistent responses to measles and mumps. The seropositivity at 1 and 12 months for measles was 26.6 and 23.3% and for mumps 46.6 and 36.6%, respectively. A total of 27 of 30 subjects with a BMT were immune to rubella 1 month after immunization and retained protective antibody levels at 12 months. The MMR-induced anamnestic responses to rubella among all responders were associated with the production of high avidity antibodies [<ulink linkType=""Reference"" linkID=""1471476"">1471476</ulink>].</para></Outcomes>","Long-Term Immunity to Measles, Mumps and Rubella After MMR Vaccination Among Children With Bone Marrow Transplants",PMID: 15077129,<Regimens><para>Subjects received MMR vaccine [<ulink linkType="Reference" linkID="1471476">1471476</ulink>].</para></Regimens>,152548,Completed
null,null,Phase not specified,NS,M-M-R II; Priorix,Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>Results showed that the local reactions were reduced by approximately half with <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink>. Pain occurred in 4% of patients, compared to 8.6% with <ulink linkType=""Drug"" linkID=""3643"">ROR Vax</ulink>. Similarly, redness was observed in 9.8% of <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink> patients, and swelling in 3.5%, compared to 16.3% and 7.4% with <ulink linkType=""Drug"" linkID=""3643"">ROR Vax</ulink>, respectively [<ulink linkType=""Reference"" linkID=""282189"">282189</ulink>].</para></Outcomes>",A Comparative Study To Evaluate The Efficacy Of Priorix With ROR Vax,null,null,15245,No longer recruiting
"<AdverseEvents><para>In February 2018, results were published. There were 26 serious adverse events in 21 (10%) subjects across the study period; 18 (n = 13) were in the 2 + 1 group and eight (n = 8) in the 1 + 1 group. A high temperature and refusal to feed after the first vaccination visit in a subject on the 2+ 1 schedule was only one serious adverse event, which was considered related to vaccine [<ulink linkType=""Reference"" linkID=""2029711"">2029711</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>Healthy children, n= 200 who have not yet received their routine infant immunizations would be      enrolled between 8 and 12 weeks old. Subjects would be randomized into one of two groups      with differing vaccine schedules. Children in both groups would receive <ulink linkType=""Drug"" linkID=""17674"">DTaP/IPV/Hib</ulink> vaccine IM 0.5 ml at 2, 3 and 4 months and their routine      immunizations with the following changes: the addition of three doses of a meningococcal B      vaccine 0.5 ml at 2, 4 and 12 months and a meningococcal C vaccine(<ulink linkType=""Drug"" linkID=""11458"">Menitorix</ulink>) 0.5 ml at 12 months only (instead of a      dose at 3 and 12 months). The two groups would differ by the number of doses of the 13-valent      pneumococcal vaccine (PCV13); to be given either at 2, 4, and 12 months of age (as currently      given in the routine schedule) or at 3 and 12 months of age. The two groups would receive <ulink linkType=""Drug"" linkID=""12813"">Rotavirus vaccine </ulink>po 1.5 ml at 2 and 3 months and Measles/Mumps/Rubella (<ulink linkType=""Drug"" linkID=""11457"">MMR</ulink>) vaccine IM 0.5 ml at 13 months.</para><para>Each subject would have two blood tests: at 5 and 13 months of age, and two nose swabs: at 12      and 18 months of age to address the objectives of the study. Parents would be asked to      complete a health diary to record any adverse events in the 7 days following vaccinations      and a continuous thermometer (ibutton) would be used to record the temperature for 24 h      after each vaccination.</para><para>If the blood samples at 13 months reveal antibody titres that would be below the level indicative      of protection, a recommendation would be made for booster vaccinations.</para></ProtocolDescription>",Phase 2 Clinical,C2,Bexsero; Infanrix Quinta; Menitorix; Prevnar 13; Priorix; Rotarix,Bacterial meningitis; Bacterial pneumonia; Bordetella pertussis infection; Clostridium tetani infection; Corynebacterium diphtheriae infection; Haemophilus influenzae infection; Measles virus infection; Mumps virus infection; Neisseria meningitidis infection; Neisseria meningitidis meningitis; Otitis media; Poliovirus infection; Rotavirus infection; Rubella virus infection; Sepsis; Streptococcus pneumoniae infection,"<Outcomes><para>In February 2018, results were published. GMCs were equivalent between schedules for serotypes 3 (0.61 in group 1 versus 0.62 microg/mL in group 2), 5 (1.74 versus 2.11 microg/mL), 7F (3.98 versus 3.36 microg/mL), 9V (2.34 versus 2.50 microg/mL), and 19A (8.38 versus 8.83 microg/mL) at month 13, post-booster. Compared to those given the 2 + 1 schedule, subjects given the 1 + 1 schedule had significantly greater immunogenicity postbooster for serotypes 1 (8.92 versus 3.07 microg/mL), 4 (3.43 versus 2.55 microg/mL), 14 (16.9 versus 10.49 microg/mL), and 19F (14.76 versus 11.12 microg/mL; adjusted p value range &lt; 0·001 to 0·047). The 2 + 1 schedule was found to be superior for serotypes 6A, 6B, 18C and 23F (adjusted p value range &lt; 0.0001 to 0.017). Functional serotype-specific antibody was similar between schedules, in a predefined numerical subset of all of the subjects recruited to the study (n = 40 [20%]) [<ulink linkType=""Reference"" linkID=""2029711"">2029711</ulink>].</para></Outcomes>",Baby Vaccine Study,2015-000817-32; NCT02482636; OVG2015/03; Sched3,"<Regimens><para>Subjects were randomly assigned (1:1) to receive 13-valent pneumococcal vaccine at 2, 4, and 12 months (2 + 1 schedule) or 3 and 12 months of age (1 + 1 schedule) delivered with other routine vaccinations [<ulink linkType=""Reference"" linkID=""2029711"">2029711</ulink>].</para></Regimens>",233238,No longer recruiting
null,"<ProtocolDescription><para>Participants who met the inclusions would be enrolled. All enrolled participants would be tested for protective antibodies to measles,      mumps, and rubella. All participants who had no protective antibody to at least one of the three viruses would be recruited to vaccinate for MMR vaccine. Between June to September 2012, 249 HIV-infected and      46 HIV-uninfected adults would be vaccinated. Participants would be grouped in to two; experimental and control.<br/>Participants would be received a single-dose (0.5 ml) of MMR vaccine (GlaxoSmithKline Biologic) at deltoid region in both experimental (HIV-uninfected adults, n = 46) or in control (HIV-infected adults, n= 249). Each 0.5 ml of vaccine contained at least 1000 TCID50 of Schwarz measles strain, at least 1000 TCID50 of RIT 4385 mumps and at least 1000 TCID50 of Wistar RA 27/3 rubella strains.<br/>Antibodies to MMR would be measured at weeks 8 to 12, and      weeks 48 after vaccination, which would be completed in August 2013.</para></ProtocolDescription>",Phase 4 Clinical,C4,null,Measles virus infection; Mumps virus infection; Rubella virus infection,null,MMR Vaccination Among HIV-infected Adults,NCT02724852; RESEARCH ID: 268,null,257091,Completed
