Ancestry,ArmCount,DevStatus,DevStatusId,Drug,DrugId,Endpoint,EndpointReached,HasHealthyVolunteers,HighestDevStatusForInd,HighestDevStatusForIndId,Indication,IndicationId,ProtocolAcronym,ProtocolTitle,Sponsor,StudyType,TrialId,TrialStartDate,TrialStatus
null,1+,Phase 2 Clinical,C2,levofloxacin,3492,"Safety,Efficacy",Y,N,Launched,L,Mycobacterium tuberculosis infection,221,null,Efficacy and Safety of Modified Anti-tubercular Regimens in Treatment of Tuberculosis in Patients With Underlying Compensated and Decompensated Chronic Liver Disease,"Institute of Liver and Biliary Sciences, India",Interventional,90788,2012-09-30 00:00:00,Recruiting
null,1+,Phase 2 Clinical,C2,levofloxacin,3492,"Safety,Efficacy",N,N,Launched,L,Mycobacterium tuberculosis infection,221,TB-TRUST,Refining MDR-TB Treatment Regimens for Ultra Short Therapy,Huashan Hospital,Interventional,372676,2019-05-01 00:00:00,Not yet recruiting
null,2+,Phase 4 Clinical,C4,levofloxacin,3492,"Safety,Efficacy",N,N,Launched,L,Mycobacterium tuberculosis infection,221,InDEX,The Individualized M(X) Drug-resistant TB Treatment Strategy Study,Centre for the AIDS Program of Research in South Africa,Interventional,307654,2017-06-14 00:00:00,Recruiting
null,2+,Phase 2/Phase 3 Clinical,C23,levofloxacin,3492,"Safety,Efficacy",N,N,Launched,L,Mycobacterium tuberculosis infection,221,NEXT,An Open-label RCT to Evaluate a New Treatment Regimen for Patients With Multidrug-resistant Tuberculosis,University of Cape Town,Interventional,230529,2015-10-31 00:00:00,Recruiting
null,2,Phase 1 Clinical,C1,levofloxacin,3492,"Bioequivalence,Pharmacokinetics",N,Y,Launched,L,Mycobacterium tuberculosis infection,221,null,"Study to assess the bioequivalence of two oral formulations of levofloxacin tablets: FLEVOX (SERRAL, SA de CV), versus TAVANIC (Sanofi-Aventis of Mexico, SA de CV), after administration of a single dose- 500 mg to healthy adult subjects of both genders, in the fasting state",Laboratorios Serral,Interventional,227604,null,No longer recruiting
null,2+,Phase 1 Clinical,C1,rifabutin,4229,"Safety,Efficacy,Pharmacokinetics",Y,Y,Launched,L,Mycobacterium tuberculosis infection,221,null,TMC-207 +/- Rifabutin/Rifampin,National Institute of Allergy and Infectious Diseases,Interventional,76765,2011-10-21 00:00:00,Completed
null,1+,Phase 2b Clinical,C2B,rifabutin,4229,"Safety,Efficacy,Pharmacokinetics",N,N,Launched,L,Mycobacterium tuberculosis infection,221,APT,Assessing PA-824 for Tuberculosis,Johns Hopkins Hospital,Interventional,213394,2015-04-29 00:00:00,Recruiting
null,5,Phase not specified,NS,rifabutin,4229,"Safety,Efficacy",N,N,Launched,L,Mycobacterium tuberculosis infection,221,BBA,Brief Bactericidal Activity of Anti-Tuberculosis Drugs,Centers for Disease Control and Prevention,Interventional,210083,2015-11-30 00:00:00,Recruiting
null,2+,Phase not specified,NS,rifabutin,4229,"Safety,Efficacy,Pharmacokinetics",N,N,Launched,L,Mycobacterium tuberculosis infection,221,USPHS-23,Intensive Pharmacokinetics of the Nelfinavir-Rifabutin Interaction in Patients With HIV-Related Tuberculosis Treated With a Rifabutin-Based Regimen,National Institutes of Health,Interventional,10648,2001-07-02 00:00:00,Recruiting
null,1,Phase 2 Clinical,C2,"MTB72F vaccine (tuberculosis), GSK/ IAVI",9490,"Safety,Efficacy",Y,Y,Phase 2 Clinical,C2,Mycobacterium tuberculosis infection,221,null,Safety and Immunogenicity of a Candidate Tuberculosis Vaccine in Healthy HIV Negative Adolescents,GlaxoSmithKline plc,Interventional,59304,2009-12-31 00:00:00,Completed
null,1,Phase 1 Clinical,C1,"MTB72F vaccine (tuberculosis), GSK/ IAVI",9490,"Safety,Efficacy",N,N,Phase 2 Clinical,C2,Mycobacterium tuberculosis infection,221,null,Safety and Immunogenicity of a Candidate Tuberculosis (TB) Vaccine Given to PPD-Negative Adults,GlaxoSmithKline plc,Interventional,23067,2004-01-31 00:00:00,Completed
null,1,Phase 2 Clinical,C2,"MTB72F vaccine (tuberculosis), GSK/ IAVI",9490,"Safety,Efficacy",N,Y,Phase 2 Clinical,C2,Mycobacterium tuberculosis infection,221,null,Safety and Immunogenicity Study of GSK Biologicals Tuberculosis Vaccines (692342) in Healthy Adults,GlaxoSmithKline plc,Interventional,11263,2008-04-30 00:00:00,Completed
null,2,Phase not specified,NS,sutezolid,11088,Pharmacokinetics,Y,N,Phase 2 Clinical,C2,Mycobacterium tuberculosis infection,221,null,"PK and Bactericidal Activity in Sputum and Blood of PNU-100480 (Sutezolid, U-480) and its Major Metabolite (PNU-101603, U-603) in Patients with Pulmonary TB",Pfizer Inc,Interventional,128346,null,Completed
null,1,Phase 3 Clinical,C3,moxifloxacin,12978,Efficacy,N,N,Phase 3 Clinical,C3,Mycobacterium tuberculosis infection,221,null,Rifapentine-containing tuberculosis treatment shortening regimens (S31/A5349),Centers for Disease Control and Prevention,Interventional,347338,2018-07-20 00:00:00,Not yet recruiting
null,1+,Phase 4 Clinical,C4,moxifloxacin,12978,"Safety,Efficacy",Y,N,Phase 3 Clinical,C3,Mycobacterium tuberculosis infection,221,null,"Multicenter, controlled clinical study of the safety, tolerability and efficacy of clofazimine in the treatment of drug-resistant tuberculosis",Beijing Chest Hospital,Interventional,328802,2009-12-01 00:00:00,No longer recruiting
