AdverseEvent,AdverseIndicationCode,DevelopmentStatus,Dose,Drug,DrugId,Intervention,MeddraAdverseEvent,Patients,PercentAffected,ProtocolDose,TrialId,Units
Wegener granulomatosis,1888,Phase 1 Clinical,null,Multikine,7401,Multikine,Urological adverse event,12,.08,null,41749,null
Diarrhea,102,Phase 2a Clinical,1.8,NHS-IL2-LT,57922,NHS-IL2-LT,Gastrointestinal adverse event,12,33,NHS-IL2-LT .3 milligram/kg doseNHS-IL2-LT 1 milligram/kg doseNHS-IL2-LT 1.8 milligram/kg doseNHS-IL2-LT 2.4 milligram/kg doseNHS-IL2-LT 3.6 milligram/kg dose,159844,milligram/kg dose
Emesis,110,Phase 2 Clinical,1.5,tucotuzumab celmoleukin,21065,EMD-273066,Gastrointestinal adverse event,110,null,EMD-273066 1.5 milligram/m2 dosecyclophosphamide 300 milligram/m2 dose,89159,milligram/m2 dose
Arthralgia,2439,Phase 2a Clinical,1.8,NHS-IL2-LT,57922,NHS-IL2-LT,Neurological adverse event,12,17,NHS-IL2-LT .3 milligram/kg doseNHS-IL2-LT 1 milligram/kg doseNHS-IL2-LT 1.8 milligram/kg doseNHS-IL2-LT 2.4 milligram/kg doseNHS-IL2-LT 3.6 milligram/kg dose,159844,milligram/kg dose
Arthralgia,2439,Phase 2a Clinical,1,NHS-IL2-LT,57922,NHS-IL2-LT,Neurological adverse event,12,50,NHS-IL2-LT .3 milligram/kg doseNHS-IL2-LT 1 milligram/kg doseNHS-IL2-LT 1.8 milligram/kg doseNHS-IL2-LT 2.4 milligram/kg doseNHS-IL2-LT 3.6 milligram/kg dose,159844,milligram/kg dose
Skin rash,3020,Phase 1 Clinical,null,NHS-IL2-LT,57922,NHS-IL2-LT,Dermatological adverse event,66,47.9,NHS-IL2-LT .075 milligram/kg doseNHS-IL2-LT .15 milligram/kg doseNHS-IL2-LT .225 milligram/kg dosecyclophosphamide 300 milligram/m2 doseNHS-IL2-LT .3 milligram/kg doseNHS-IL2-LT .45 milligram/kg doseNHS-IL2-LT .6 milligram/kg doseNHS-IL2-LT .9 milligram/kg doseNHS-IL2-LT 1.8 milligram/kg doseNHS-IL2-LT 2.1 milligram/kg doseNHS-IL2-LT 2.5 milligram/kg doseNHS-IL2-LT 3 milligram/kg doseNHS-IL2-LT 1.2 milligram/kg doseNHS-IL2-LT 1.5 milligram/kg dose,62646,null
Hypotension,408,Phase 2 Clinical,1.5,tucotuzumab celmoleukin,21065,EMD-273066,Vascular adverse event,110,null,EMD-273066 1.5 milligram/m2 dosecyclophosphamide 300 milligram/m2 dose,89159,milligram/m2 dose
Nausea,226,Phase 2a Clinical,.3,NHS-IL2-LT,57922,NHS-IL2-LT,Gastrointestinal adverse event,12,50,NHS-IL2-LT .3 milligram/kg doseNHS-IL2-LT 1 milligram/kg doseNHS-IL2-LT 1.8 milligram/kg doseNHS-IL2-LT 2.4 milligram/kg doseNHS-IL2-LT 3.6 milligram/kg dose,159844,milligram/kg dose
Chill,3050,Phase 1/Phase 2 Clinical,null,ALKS-4230,86441,ALKS-4230,null,300,63,ALKS-4230 .1 microgram/kg doseALKS-4230 .3 microgram/kg doseALKS-4230 1 microgram/kg doseALKS-4230 3 microgram/kg doseALKS-4230 6 microgram/kg dose,263216,null
Anemia,17,Phase 1/Phase 2 Clinical,null,ALKS-4230,86441,ALKS-4230,Hematological adverse event,300,33,ALKS-4230 .1 microgram/kg doseALKS-4230 .3 microgram/kg doseALKS-4230 1 microgram/kg doseALKS-4230 3 microgram/kg doseALKS-4230 6 microgram/kg dose,263216,null
