Ancestry,ArmCount,DevStatus,DevStatusId,Drug,DrugId,Endpoint,EndpointReached,HasHealthyVolunteers,HighestDevStatusForInd,HighestDevStatusForIndId,Indication,IndicationId,ProtocolAcronym,ProtocolTitle,Sponsor,StudyType,TrialId,TrialStartDate,TrialStatus
null,2,Phase 2 Clinical,C2,M-M-R II,3643,"Safety,Efficacy",N,Y,Launched,L,Measles virus infection,1,null,ProQuad Dose Selection Study,Merck & Co Inc,Interventional,60684,1999-04-30 00:00:00,Completed
null,1,Phase 3 Clinical,C3,M-M-R II,3643,"Safety,Efficacy",N,Y,Launched,L,Measles virus infection,1,null,Evaluation of Immunogenicity and Safety of VARIVAX Passage Extension 34 (PE34) Process in Children,Merck Sharp & Dohme Corp,Interventional,307614,2017-10-17 00:00:00,Completed
null,2+,Phase 3a Clinical,C3A,M-M-R II,3643,"Safety,Efficacy",Y,Y,Launched,L,Measles virus infection,1,null,"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age","GlaxoSmithKline Biologicals, GlaxoSmithKline plc",Interventional,203343,2014-08-25 00:00:00,Completed
null,1+,Phase 3a Clinical,C3A,Priorix,11457,"Safety,Efficacy",N,Y,Launched,L,Measles virus infection,1,null,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biological's Combined Measles-mumps-rubella (MMR) Vaccine in Children in Their Second Year of Life,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",Interventional,91153,2012-10-10 00:00:00,Completed
null,1,Phase 4 Clinical,C4,Priorix,11457,"Safety,Efficacy",N,Y,Launched,L,Measles virus infection,1,null,Immunogenicity and Safety of Japanese Encephalitis Vaccine When Given With Measles-Mumps-Rubella Vaccine,Path Inc,Interventional,269874,2016-10-31 00:00:00,Recruiting
null,2+,Phase 4 Clinical,C4,Priorix,11457,Efficacy,Y,Y,Launched,L,Measles virus infection,1,HVT,Homeopathic Vaccine Trial,McMaster University,Interventional,265194,2016-09-30 00:00:00,Recruiting
null,1+,Phase 2 Clinical,C2,Priorix,11457,"Safety,Efficacy",Y,Y,Launched,L,Measles virus infection,1,Sched3,Baby Vaccine Study,"Bill & Melinda Gates Foundation, National Institute for Health Research (NIHR), University of Oxford",Interventional,233238,2015-08-31 00:00:00,No longer recruiting
null,3,Phase 3 Clinical,C3,Priorix-Tetra,17141,"Safety,Efficacy",N,Y,Launched,L,Measles virus infection,1,MMRV-053 PRI,Comparison of GSK Measles-Mumps-Rubella-Varicella (MMRV) Vaccine Versus Priorix,GlaxoSmithKline plc,Interventional,60050,2009-11-09 00:00:00,Completed
null,1,Phase 4 Clinical,C4,Priorix-Tetra,17141,"Safety,Efficacy",N,Y,Launched,L,Measles virus infection,1,null,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",GlaxoSmithKline plc,Interventional,11389,2005-05-31 00:00:00,Completed
null,1,Phase 3 Clinical,C3,Priorix-Tetra,17141,Safety,N,Y,Launched,L,Measles virus infection,1,null,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",GlaxoSmithKline Biologicals,Interventional,11387,2005-11-30 00:00:00,Completed
null,2+,Phase 3 Clinical,C3,ProQuad,47279,Safety,Y,Y,Launched,L,Measles virus infection,1,null,Study of the Safety of Menactra Vaccine When Administered With Other Pediatric Vaccines to Healthy Toddlers,Sanofi SA,Interventional,9965,2007-05-31 00:00:00,Completed
null,2,Phase 2 Clinical,C2,ProQuad,47279,"Safety,Efficacy",N,Y,Launched,L,Measles virus infection,1,null,ProQuad Dose Selection Study,Merck & Co Inc,Interventional,60684,1999-04-30 00:00:00,Completed
null,1+,Phase not specified,NS,ProQuad,47279,"Safety,Efficacy",Y,N,Launched,L,Measles virus infection,1,null,"A randomized, multicenter comparative study to evaluate the safety and immunogenicity Of ProQuad when administered in combination with other vaccines against Varivax and MMR II when co-administered with the same vaccines",Merck & Co Inc,Interventional,17509,1997-12-31 00:00:00,No longer recruiting
null,1,Phase not specified,NS,ProQuad,47279,"Safety,Efficacy",Y,Y,Launched,L,Measles virus infection,1,null,A Study To Determine If Upper Respiratory Tract Infection (URI) Affects The Seroconversion Rate Or Quantitative Response To Each Component Of ProQuad,Merck & Co Inc,Interventional,15334,1994-12-31 00:00:00,No longer recruiting
null,3,Phase not specified,NS,ProQuad,47279,"Safety,Efficacy",Y,Y,Launched,L,Measles virus infection,1,null,"A Double-blind, Multicenter Study To Evaluate The Safety, Tolerability And Immunogenicity Of ProQuad For The Prevention Of Measles, Mumps, Rubella And Chicken Pox In Children",Merck & Co Inc,Interventional,15301,2004-05-14 00:00:00,No longer recruiting
null,1,Phase 3 Clinical,C3,ProQuad,47279,Safety,N,Y,Launched,L,Measles virus infection,1,null,Safety Study of ProQuad rHA in Infants,Merck Sharp & Dohme Corp,Interventional,11426,2007-10-24 00:00:00,Completed
null,1,Phase 1 Clinical,C1,MVA-mBN85B,54328,Safety,N,Y,No Development Reported,NDR,Measles virus infection,1,null,A Phase I Study of MVA-BN Vector Vaccine to Evaluate Safety and Immunogenicity in Healthy Volunteers,Bavarian Nordic A/S,Interventional,9026,2007-11-06 19:30:00,Status not specified
null,1,Phase 4 Clinical,C4,"measles vaccine (inhaled aerosol), WHO",56118,"Safety,Efficacy",Y,N,No Development Reported,NDR,Measles virus infection,1,null,Trial of Additional Measles Vaccine to Reduce Child Mortality,Bandim Health Project,Interventional,198691,2012-07-31 00:00:00,Recruiting
