Action,ActionId,AuthorityGroup,Company,CompanyId,Country,CountryId,Drug,DrugId,EntityType,HighestDevStatus,HighestDevStatusForInd,HighestDevStatusForIndId,HighestDevStatusId,Indication,IndicationId,IsActiveCompany,LatestChange,ParentCompany,ParentCompanyId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
IL-2 agonist,221,LOCAL_AND_MAJOR,EMD Lexigen Research Center Corp,21956,US,US,tucotuzumab celmoleukin,21065,Biological,Discontinued,Discontinued,DX,DX,Ovary tumor,799,false,2008-04-23 00:00:00,Merck KGaA,18101,Phase 2 Clinical,2003-10-13 00:00:00,C2,9,Endocrine disease,112
IL-2 agonist,221,LOCAL_AND_MAJOR,EMD Lexigen Research Center Corp,21956,US,US,tucotuzumab celmoleukin,21065,Biological,Discontinued,No Development Reported,NDR,DX,Breast tumor,49,false,2008-04-23 00:00:00,Merck KGaA,18101,Phase 2 Clinical,2000-10-27 00:00:00,C2,9,Endocrine disease,112
IL-2 agonist,221,LOCAL_AND_MAJOR,FGene SA,26231,France,FR,FG-003,21923,Chemical,No Development Reported,No Development Reported,NDR,NDR,Cancer,651,false,2001-02-06 00:00:00,FGene SA,26231,No Development Reported,2001-02-06 00:00:00,NDR,2,Neoplasm,230
IL-2 agonist,221,OTHER,CEL-SCI Corp,15339,Czech Republic,CZ,Multikine,7401,Biological,Phase 3 Clinical,Phase 3 Clinical,C3,C3,Head and neck tumor,623,true,2015-02-27 00:00:00,CEL-SCI Corp,15339,Phase 2 Clinical,1999-03-05 00:00:00,C2,9,Neoplasm,230
IL-2 agonist,221,OTHER,CEL-SCI Corp,15339,Poland,PL,Multikine,7401,Biological,Phase 3 Clinical,Phase 3 Clinical,C3,C3,Head and neck tumor,623,true,2015-02-27 00:00:00,CEL-SCI Corp,15339,Phase 2 Clinical,1999-01-11 00:00:00,C2,9,Neoplasm,230
IL-2 agonist,221,OTHER,CEL-SCI Corp,15339,Hungary,HU,Multikine,7401,Biological,Phase 3 Clinical,Phase 3 Clinical,C3,C3,Head and neck tumor,623,true,2015-02-27 00:00:00,CEL-SCI Corp,15339,Phase 2 Clinical,1998-12-04 00:00:00,C2,9,Neoplasm,230
IL-2 agonist,221,OTHER,CEL-SCI Corp,15339,Canada,CA,Multikine,7401,Biological,Phase 3 Clinical,Phase 3 Clinical,C3,C3,Head and neck tumor,623,true,2015-02-27 00:00:00,CEL-SCI Corp,15339,Phase 2 Clinical,1996-02-27 00:00:00,C2,9,Neoplasm,230
IL-2 agonist,221,LOCAL_AND_MAJOR,CARLINA Technologies SAS,1070404,France,FR,"PEPTIDOTS-IL2 (sustained release/sc, kidney/skin cancer), CARLINA Technologies",81585,Chemical,Discovery,Discovery,DR,DR,Renal tumor,999,true,2012-10-25 00:00:00,CARLINA Technologies SAS,1070404,Discovery,2012-10-25 00:00:00,DR,6,Genitourinary disease,366
IL-2 agonist,221,LOCAL_AND_MAJOR,Shandong Quangang Pharmaceutical Co Ltd,1077532,China,CN,"interleukin-2 follow-on biologic, Shandong Quangang Pharmaceutical",82874,Biological,Launched,Launched,L,L,Systemic lupus erythematosus,318,true,2001-12-31 00:00:00,Shandong Quangang Pharmaceutical Co Ltd,1077532,Registered,2001-12-31 00:00:00,R,12,Dermatological disease,95
IL-2 agonist,221,LOCAL_AND_MAJOR,Shandong Quangang Pharmaceutical Co Ltd,1077532,China,CN,"interleukin-2 follow-on biologic, Shandong Quangang Pharmaceutical",82874,Biological,Launched,Launched,L,L,Ascites,2204,true,2001-12-31 00:00:00,Shandong Quangang Pharmaceutical Co Ltd,1077532,Registered,2001-12-31 00:00:00,R,12,Gastrointestinal disease,129
IL-2 agonist,221,LOCAL_AND_MAJOR,CytImmune Sciences Inc,26794,US,US,CYT-51000,55676,Chemical,No Development Reported,No Development Reported,NDR,NDR,Solid tumor,725,false,2014-09-22 00:00:00,CytImmune Sciences Inc,26794,Discovery,2006-02-06 00:00:00,DR,6,Neoplasm,230
IL-2 agonist,221,LOCAL_AND_MAJOR,Guangdong Weilun Biological Products Co Ltd,1079335,China,CN,"interleukin-2 follow-on biologic, Guangdong Weilun Biological Products",84921,Biological,Launched,Launched,L,L,Infectious disease,746,true,2005-12-31 00:00:00,Guangdong Weilun Biological Products Co Ltd,1079335,Launched,2005-12-31 00:00:00,L,13,Infectious disease,746
IL-2 agonist,221,LOCAL_AND_MAJOR,Introgen Therapeutics Inc,17255,US,US,INGN-301,14960,Chemical,No Development Reported,No Development Reported,NDR,NDR,HIV infection,158,false,2001-11-28 00:00:00,Introgen Therapeutics Inc,17255,No Development Reported,2001-11-28 00:00:00,NDR,2,Infectious disease,746
IL-2 agonist,221,LOCAL_AND_MAJOR,Introgen Therapeutics Inc,17255,US,US,INGN-301,14960,Chemical,No Development Reported,No Development Reported,NDR,NDR,Cancer,651,false,2001-11-28 00:00:00,Introgen Therapeutics Inc,17255,No Development Reported,2001-11-28 00:00:00,NDR,2,Neoplasm,230
IL-2 agonist,221,LOCAL_AND_MAJOR,Bayer AG,14455,Germany,DE,BAY-50-4798,28450,Biological,No Development Reported,No Development Reported,NDR,NDR,HIV infection,158,false,2009-01-29 00:00:00,Bayer AG,14455,Discovery,2001-11-20 00:00:00,DR,6,Infectious disease,746
IL-2 agonist,221,LOCAL_AND_MAJOR,Cell-Medicine Inc,1003462,Japan,JP,AFTVac,55115,Biological,Phase 2 Clinical,No Development Reported,NDR,C2,Cancer,651,true,2011-03-16 00:00:00,Cell-Medicine Inc,1003462,No Development Reported,2011-03-16 00:00:00,NDR,2,Neoplasm,230
IL-2 agonist,221,LOCAL_AND_MAJOR,Changchun Institute of Biological Products,1010156,China,CN,"interleukin-2 follow-on biologic, Changchun Institute of Biological Products",79074,Biological,Launched,Launched,L,L,Sjoegrens syndrome,1148,true,1997-12-31 00:00:00,Sinopharm,1055632,Registered,1997-12-31 00:00:00,R,12,Immune disorder,185
IL-2 agonist,221,LOCAL_AND_MAJOR,Changchun Institute of Biological Products,1010156,China,CN,"interleukin-2 follow-on biologic, Changchun Institute of Biological Products",79074,Biological,Launched,Launched,L,L,Melanoma,205,true,1997-12-31 00:00:00,Sinopharm,1055632,Launched,1997-12-31 00:00:00,L,13,Dermatological disease,95
