Action,ActionId,AuthorityGroup,Company,CompanyId,Country,CountryId,Drug,DrugId,EntityType,HighestDevStatus,HighestDevStatusForInd,HighestDevStatusForIndId,HighestDevStatusId,Indication,IndicationId,IsActiveCompany,LatestChange,ParentCompany,ParentCompanyId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,State Research Center of Virology and Biotechnology VECTOR,18630,Russian Federation,RU,"measles vaccine, NPO Vector",12671,Biological,Launched,Launched,L,L,Measles virus infection,1,true,2000-03-17 00:00:00,State Research Center of Virology and Biotechnology VECTOR,18630,Launched,2000-03-17 00:00:00,L,13,Infectious disease,746
Prophylactic vaccine,12378,OTHER,GlaxoSmithKline Biologicals,24166,Belgium,BE,Priorix-Tetra,17141,Biological,Launched,Launched,L,L,Measles virus infection,1,false,2008-01-10 00:00:00,GlaxoSmithKline plc,28355,Phase 2 Clinical,1998-02-01 00:00:00,C2,9,Infectious disease,746
Prophylactic vaccine,12378,OTHER,GlaxoSmithKline plc,28355,EU,EU,Priorix-Tetra,17141,Biological,Launched,Launched,L,L,Measles virus infection,1,true,2008-01-10 00:00:00,GlaxoSmithKline plc,28355,Registered,2006-07-31 00:00:00,R,12,Infectious disease,746
Live attenuated viral vaccine,12364,OTHER,GlaxoSmithKline plc,28355,Denmark,DK,Priorix-Tetra,17141,Biological,Launched,Launched,L,L,Measles virus infection,1,true,2008-01-10 00:00:00,GlaxoSmithKline plc,28355,Registered,2007-08-07 00:00:00,R,12,Infectious disease,746
Unspecified drug target,59620,LOCAL_AND_MAJOR,Utah State University,20691,US,US,KS-753,29239,Chemical,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2008-02-12 00:00:00,Utah State University,20691,No Development Reported,2008-02-12 00:00:00,NDR,2,Infectious disease,746
Live attenuated viral vaccine,12364,OTHER,Crucell Switzerland AG,24766,Switzerland,CH,"second-generation MMR vaccine, Berna",41069,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2006-03-28 00:00:00,Johnson & Johnson,17332,No Development Reported,2006-03-28 00:00:00,NDR,2,Infectious disease,746
Prophylactic vaccine,12378,OTHER,Crucell Switzerland AG,24766,Switzerland,CH,"second-generation MMR vaccine, Berna",41069,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2006-03-28 00:00:00,Johnson & Johnson,17332,Phase 2 Clinical,2002-08-12 00:00:00,C2,9,Infectious disease,746
Prophylactic vaccine,12378,OTHER,Bavarian Nordic A/S,24244,South Africa,ZA,MVA-mBN85B,54328,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2011-11-29 00:00:00,Bavarian Nordic A/S,24244,Phase 2 Clinical,2009-06-30 00:00:00,C2,9,Infectious disease,746
DNA vaccine,1879,LOCAL_AND_MAJOR,Johns Hopkins University,20596,US,US,"DNA vaccine (measles, Vaxfectin), Vical/Johns Hopkins University",57445,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2012-11-30 00:00:00,Johns Hopkins University,20596,No Development Reported,2012-11-30 00:00:00,NDR,2,Infectious disease,746
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,Vical Inc,20743,US,US,"DNA vaccine (measles, Vaxfectin), Vical/Johns Hopkins University",57445,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2012-11-30 00:00:00,Vical Inc,20743,Discovery,2007-05-31 00:00:00,DR,6,Infectious disease,746
Antiviral,991,LOCAL_AND_MAJOR,Universal Stabilization Technologies Inc,1064321,US,US,"thermostable vaccines (pulmonary, measles), Universal Stabilization Technologies",73077,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2012-10-17 00:00:00,Universal Stabilization Technologies Inc,1064321,Discovery,2009-12-31 00:00:00,DR,6,Infectious disease,746
Therapeutic vaccine,12379,LOCAL_AND_MAJOR,Universal Stabilization Technologies Inc,1064321,US,US,"thermostable vaccines (pulmonary, measles), Universal Stabilization Technologies",73077,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2012-10-17 00:00:00,Universal Stabilization Technologies Inc,1064321,Discovery,2009-12-31 00:00:00,DR,6,Infectious disease,746
Live attenuated viral vaccine,12364,LOCAL_AND_MAJOR,Wuhan Institute of Biological Products Co Ltd,1061252,China,CN,Wu Sheng Si Lin,80093,Biological,Launched,Launched,L,L,Measles virus infection,1,true,2003-12-31 00:00:00,Sinopharm,1055632,Registered,2003-12-31 00:00:00,R,12,Infectious disease,746
Live attenuated viral vaccine,12364,LOCAL_AND_MAJOR,Sinovac (Dalian) Vaccine Technology Co Ltd,1052048,China,CN,"measles vaccine, Sinovac Dalian",80163,Biological,No Development Reported,No Development Reported,NDR,NDR,Measles virus infection,1,false,2014-07-07 00:00:00,Sinovac Biotech Ltd,1005255,No Development Reported,2014-07-07 00:00:00,NDR,2,Infectious disease,746
Immunostimulant,393,LOCAL_AND_MAJOR,Shanghai Institute of Biological Products Co Ltd,1071897,China,CN,"human immunoglobulin (intramuscular), Shanghai Institute of Biological Products",80171,Biological,Launched,Launched,L,L,Measles virus infection,1,true,1997-12-31 00:00:00,Sinopharm,1055632,Launched,1997-12-31 00:00:00,L,13,Infectious disease,746
Unspecified drug target,59620,LOCAL_AND_MAJOR,Shanghai Institute of Biological Products Co Ltd,1071897,China,CN,"human immunoglobulin (intramuscular), Shanghai Institute of Biological Products",80171,Biological,Launched,Launched,L,L,Measles virus infection,1,true,1997-12-31 00:00:00,Sinopharm,1055632,Registered,1997-12-31 00:00:00,R,12,Infectious disease,746
Antiviral,991,LOCAL_AND_MAJOR,Lanzhou Institute of Biological Products,1061250,China,CN,"human immunoglobulin (pH4, intravenous), Lanzhou Institute of Biological Products",80208,Biological,Launched,Launched,L,L,Measles virus infection,1,true,2004-12-31 00:00:00,Sinopharm,1055632,Launched,2004-12-31 00:00:00,L,13,Infectious disease,746
Immunostimulant,393,LOCAL_AND_MAJOR,Lanzhou Institute of Biological Products,1061250,China,CN,"human immunoglobulin (pH4, intravenous), Lanzhou Institute of Biological Products",80208,Biological,Launched,Launched,L,L,Measles virus infection,1,true,2004-12-31 00:00:00,Sinopharm,1055632,Launched,2004-12-31 00:00:00,L,13,Infectious disease,746
Live attenuated viral vaccine,12364,LOCAL_AND_MAJOR,Beijing Minhai Biotechnology Co Ltd,1056577,China,CN,"measles/rubella vaccine (subcutaneous, live), Beijing Minhai Biotechnology",82024,Biological,Launched,Launched,L,L,Measles virus infection,1,true,2014-10-24 00:00:00,Kangtai Biological Products Co Ltd,1071345,Launched,2014-10-24 00:00:00,L,13,Infectious disease,746
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,Dalian Aleph Biomedical Co Ltd,1075350,China,CN,"measles/mumps/rubella vaccine, Dalian Aleph Biomedical",85750,Biological,Discovery,Discovery,DR,DR,Measles virus infection,1,true,2013-06-14 00:00:00,Shanghai Fosun Pharmaceutical (Group) Co Ltd,1015871,Discovery,2013-06-14 00:00:00,DR,6,Infectious disease,746
