ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
3,Creatinine; Diastolic blood pressure; Systolic blood pressure,Hypertension,amlodipine; celecoxib,Phase 3 Clinical,C3,celecoxib,12135,152,KIT-302,152,null,Study to Evaluate the Effect of Celecoxib on the Efficacy and Safety of Amlodipine in Subjects With Hypertension Requiring Antihypertensive Therapy,2013-005381-19; KIT-302-03-01; NCT02172040,Kitov Pharmaceuticals Ltd,199314,"JUNE     , 26, 2014",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,198,Sinbaro,198,null,Efficacy and Safety of Shinbaro Capsule,GCSB_P3; NCT01535417,GC Pharma,85152,"MAY      , 31, 2009",Completed
3,Prostacyclin I; Prostaglandin E; Thromboxane A,Osteoarthritis,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,90,LY-3031207; LY-3031207; simvastatin,90,null,A Multiple Dose Study of LY-3031207 in Healthy Participants,14284; I5W-EW-LBCB; NCT01632566,Eli Lilly & Co,89267,"JUNE     , 30, 2012",Terminated
2,null,Pain,celecoxib,Phase 4 Clinical,C4,celecoxib,12135,364,lumiracoxib,364,null,"Efficacy of Lumiracoxib in Relieving Moderate to Severe Post-Dental Surgery Pain, Compared to Both Placebo and Celecoxib",CCOX189A2474; NCT00348491,Novartis AG,12720,"FEBRUARY , 28, 2006",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,650,TDS-943,650,null,Study Evaluating the Efficacy and Safety of Topical Diclofenac Spray in Osteoarthritis of the Knee: Trial I,NCT00546507; TD-06-13,Wyeth,19977,"OCTOBER  , 31, 2007",Completed
3,null,Osteoarthritis,celecoxib; diclofenac,Phase 3 Clinical,C3,celecoxib,12135,1650,fasinumab,1650,FACT OA2,Study to Determine the Safety and the Efficacy of Fasinumab Compared to Placebo and Nonsteroidal Anti-inflammatory Drugs (NSAIDs) for Treatment of Adults With Pain From Osteoarthritis of the Knee or Hip,2017-001702-15; FACT OA2; NCT03304379; R475-OA-1688,Regeneron Pharmaceuticals Inc,315360,"OCTOBER  , 26, 2017",No longer recruiting
2,null,Osteoarthritis,YYC-301; celecoxib,Phase 2 Clinical,C2,celecoxib,12135,252,YYC-301,252,null,Clinical Trial of YYC-301 for Treatment of Osteoarthritis of the Knee,NCT03850587; YYPCT_YYC301_P2,YooYoung Pharmaceuticals Co Ltd,371129,"MARCH    , 03, 2019",Not yet recruiting
2,Prostaglandin E,Pain,celecoxib,Phase 2 Clinical,C2,celecoxib,12135,124,LY-3023703,124,null,A Study of LY-3023703 Testing Pain Relief After Wisdom Teeth Removal,14852; I6H-MC-MCBC; NCT01872910,Eli Lilly & Co,138174,"JUNE     , 30, 2013",Completed
2+,Epstein-Barr virus (EBV) transformed lymphocytes (B cells); T regulatory cells,Esophagus tumor,H-1299,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,21,H-1299; celecoxib; cyclophosphamide,21,null,"Adjuvant Tumor Lysate Vaccine and Iscomatrix With or Without Metronomic Oral Cyclophosphamide and Celecoxib in Patients With Malignancies Involving Lungs, Esophagus, Pleura or Mediastinum",14-C-0053; 140053; NCT02054104,National Cancer Institute,171349,"FEBRUARY , 01, 2014",Suspended
2+,Epstein-Barr virus (EBV) transformed lymphocytes (B cells); T regulatory cells,Mesothelioma,H-1299,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,21,H-1299; celecoxib; cyclophosphamide,21,null,"Adjuvant Tumor Lysate Vaccine and Iscomatrix With or Without Metronomic Oral Cyclophosphamide and Celecoxib in Patients With Malignancies Involving Lungs, Esophagus, Pleura or Mediastinum",14-C-0053; 140053; NCT02054104,National Cancer Institute,171349,"FEBRUARY , 01, 2014",Suspended
2+,Epstein-Barr virus (EBV) transformed lymphocytes (B cells); T regulatory cells,Sarcoma,H-1299,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,21,H-1299; celecoxib; cyclophosphamide,21,null,"Adjuvant Tumor Lysate Vaccine and Iscomatrix With or Without Metronomic Oral Cyclophosphamide and Celecoxib in Patients With Malignancies Involving Lungs, Esophagus, Pleura or Mediastinum",14-C-0053; 140053; NCT02054104,National Cancer Institute,171349,"FEBRUARY , 01, 2014",Suspended
2+,Epstein-Barr virus (EBV) transformed lymphocytes (B cells); T regulatory cells,Melanoma,H-1299,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,21,H-1299; celecoxib; cyclophosphamide,21,null,"Adjuvant Tumor Lysate Vaccine and Iscomatrix With or Without Metronomic Oral Cyclophosphamide and Celecoxib in Patients With Malignancies Involving Lungs, Esophagus, Pleura or Mediastinum",14-C-0053; 140053; NCT02054104,National Cancer Institute,171349,"FEBRUARY , 01, 2014",Suspended
2+,Epstein-Barr virus (EBV) transformed lymphocytes (B cells); T regulatory cells,Thymus neoplasm,H-1299,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,21,H-1299; celecoxib; cyclophosphamide,21,null,"Adjuvant Tumor Lysate Vaccine and Iscomatrix With or Without Metronomic Oral Cyclophosphamide and Celecoxib in Patients With Malignancies Involving Lungs, Esophagus, Pleura or Mediastinum",14-C-0053; 140053; NCT02054104,National Cancer Institute,171349,"FEBRUARY , 01, 2014",Suspended
2+,Epstein-Barr virus (EBV) transformed lymphocytes (B cells); T regulatory cells,Lung tumor,H-1299,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,21,H-1299; celecoxib; cyclophosphamide,21,null,"Adjuvant Tumor Lysate Vaccine and Iscomatrix With or Without Metronomic Oral Cyclophosphamide and Celecoxib in Patients With Malignancies Involving Lungs, Esophagus, Pleura or Mediastinum",14-C-0053; 140053; NCT02054104,National Cancer Institute,171349,"FEBRUARY , 01, 2014",Suspended
2,null,Pain,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,80,BI-1026706,80,null,Effectiveness and Safety of Different Doses of BI-1026706 in Patients With Postoperative Dental Pain,1320.13; 2013-003580-62; NCT02084511,Boehringer Ingelheim International GmbH,177530,"MARCH    , 31, 2014",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,1399,Diractin,1395,null,Safety and Efficacy of Two Dosages of Diractin in Osteoarthritis (OA),CL-033-III-03; NCT00716547,IDEA AG,22297,"MAY      , 31, 2008",Completed
2+,null,Pain,null,Phase 3b Clinical,C3B,celecoxib,12135,30,HTX-011; acetaminophen; celecoxib; ibuprofen; luer lock applicator,30,null,Total Knee Arthroplasty (TKA) Study of HTX-011 in an Multimodal Analgesic Regimen (MMA),HTX-011-306; NCT03974932,Heron Therapeutics Inc,383452,"JUNE     , 05, 2019",Recruiting
2,Potassium; Prostacyclin receptor; Prostaglandin E; Prostaglandin E2 receptor EP4 subtype; Sodium; Thromboxane A2; Tumor necrosis factor,Unidentified indication,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,80,LY-3127760,13,null,A Study of LY-3127760 in Healthy Participants,15181; I7A-MC-EACA; NCT01968070,Eli Lilly & Co,158669,"OCTOBER  , 31, 2013",Completed
3,null,Osteoarthritis,null,Phase 1 Clinical,C1,celecoxib,12135,25,BI-1026706; celecoxib; pregabalin,25,null,"Effectiveness of Two Different Doses of BI-1026706 on the Overall Peak-to-Peak (PtP) N2/P2-component Amplitude of Laser (Somatosensory, Radiant-heat) Evoked Potentials (LEP) in UVB(Ultraviolet)-Irradiated Skin in Healthy Male Volunteers",1320.3; 2012-005691-33; NCT02037165,Boehringer Ingelheim International GmbH,167667,"JANUARY  , 31, 2014",Completed
2,Creatinine; Prostaglandin E; Prostaglandin E2; Thromboxane; Thromboxane A,null,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,30,LY-3023703,30,null,A Single-Dose Study of LY-3023703 in Healthy Participants,14707; I6H-MC-MCBA; NCT01632579,Eli Lilly & Co,89268,"JUNE     , 30, 2012",Completed
2,C-reactive protein,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,1684,lumiracoxib,1551,null,Efficacy and Safety of Lumiracoxib in Patients With Primary Knee Osteoarthritis (OA),CCOX189A2361; NCT00367315,Novartis AG,21847,"SEPTEMBER, 30, 2003",Completed
