Ancestry,ArmCount,DevStatus,DevStatusId,Drug,DrugId,Endpoint,EndpointReached,HasHealthyVolunteers,HighestDevStatusForInd,HighestDevStatusForIndId,Indication,IndicationId,ProtocolAcronym,ProtocolTitle,Sponsor,StudyType,TrialId,TrialStartDate,TrialStatus
null,1,Phase 1 Clinical,C1,bromerguride,2686,"Safety,Bioavailability,Pharmacokinetics,Pharmacodynamics",Y,Y,No Development Reported,NDR,Schizophrenia,299,null,"A phase I study to evaluate the safety, pharmacokinetics and pharmacodynamics of bromerguride in healthy male volunteers",Bayer Schering Pharma AG,Interventional,55739,1986-12-31 00:00:00,Status not specified
Asian Ancestry,7,Phase 4 Clinical,C4,ziprasidone,2860,"Efficacy,Pharmacodynamics",N,N,Launched,L,Schizophrenia,299,null,Pharmacogenomic study of schizophrenia,"Ministry of Science and Technology of the People´s Republic of China, The Sixth Hospital of Peking University (Institute of Mental Health)",Interventional,98482,2009-01-01 00:00:00,Recruiting
null,1,Phase 4 Clinical,C4,ziprasidone,2860,"Safety,Efficacy,Pharmacodynamics",Y,N,Launched,L,Schizophrenia,299,null,Study Evaluating Effectiveness of Ziprasidone Using the Overlapped Switching Strategy in Patients with Schizophrenia or Schizoaffective Disorder,Soonchunhyang University Hospital,Interventional,70175,2010-09-30 00:00:00,Completed
null,1,Phase Not Applicable,PNA,ziprasidone,2860,"Pharmacokinetics,Pharmacodynamics",Y,Y,Launched,L,Schizophrenia,299,null,"A study evaluating the striatal and extrastriatal D2/3-receptor binding of ziprasidone using 18F-Fallypride PET scanning, in both schizophrenia patients and healthy volunteers",Pfizer Inc,Interventional,53568,2008-06-16 00:00:00,Status not specified
null,1,Phase 1 Clinical,C1,ziprasidone,2860,"Pharmacokinetics,Pharmacodynamics",Y,Y,Launched,L,Schizophrenia,299,null,A phase I study evaluating the time course of 5-HT2 receptor occupancy (%RO) in healthy male volunteers after ziprasidone administration,Pfizer Inc,Interventional,53500,1996-12-31 00:00:00,Status not specified
null,2,Phase 3 Clinical,C3,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Schizophrenia,299,null,"A phase III, multicenter, randomized, double-blind, placebo-controlled study to evaluate the safety and efficacy of iloperidone in schizophrenic patients",Vanda Pharmaceuticals Inc,Interventional,42355,2005-12-12 00:00:00,No longer recruiting
null,1,Phase 3 Clinical,C3,ziprasidone,2860,"Safety,Efficacy",N,N,Launched,L,Schizophrenia,299,HDZ,High-Dose Oral Ziprasidone Versus Conventional Dosing in Participants With Residual Symptoms,"Massachusetts General Hospital, Pfizer Inc",Interventional,36301,2006-01-31 00:00:00,Completed
null,1,Phase 4 Clinical,C4,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Schizophrenia,299,null,"12-Week, Open, Non-Comparative Switch Study Of Oral Ziprazidone In Previously Treated Schizophrenic Patients",Pfizer Inc,Interventional,35031,2003-11-30 00:00:00,Terminated
null,2,Phase 3b Clinical,C3B,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Schizophrenia,299,MOZART,A Study Comparing the Efficacy and Tolerability of Ziprasidone versus Clozapine for the Treatment of Schizophrenia in Patients Who Continue to Have Symptoms on or Cannot Tolerate Other Antipsychotic Drugs,Pfizer Inc,Interventional,34991,2003-01-31 00:00:00,Completed
null,1,Phase 3b Clinical,C3B,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Schizophrenia,299,null,Mozart Relapse Study,Pfizer Inc,Interventional,34869,2003-06-30 00:00:00,Completed
null,1,Phase not specified,NS,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Schizophrenia,299,null,Treatment With Ziprasidone for Schizophrenia Patients With Obsessive Compulsive Disorder (OCD),Sheba Medical Center,Interventional,33142,2006-01-31 00:00:00,Completed
null,1+,Phase 2 Clinical,C2,ziprasidone,2860,"Safety,Pharmacodynamics",Y,N,Launched,L,Schizophrenia,299,null,A Phase II Study to Assess the Effect of Iloperidone on QTc Interval Duration,"Novartis AG, Titan Pharmaceuticals Inc",Interventional,148133,null,Completed
null,2,Phase not specified,NS,ziprasidone,2860,"Safety,Pharmacokinetics",Y,N,Launched,L,Schizophrenia,299,null,"A Randomized, Single-Blind, Parallel-Group Study To Evaluate The Effects of High-Dose Ziprasidone and Haloperidol on the QTC Interval after Intramuscular Administration in Patients with Schizophrenia or Schizoaffective Disorder","Arena Pharmaceuticals Inc, Astellas Pharma US Inc, AstraZeneca Pharmaceuticals LP, BioTie Therapies Corp, Bristol-Myers Squibb Co, EPIX Pharmaceuticals Inc, Eisai Inc, Janssen Pharmaceuticals Inc, Merck & Co Inc, Novartis Pharmaceuticals Corp, Otsuka America Pharmaceutical Inc, Pfizer Inc, Sanofi SA, Sention Inc, Takeda Pharmaceuticals North America Inc",Interventional,145156,null,Completed
null,1,Phase 4 Clinical,C4,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Schizophrenia,299,null,"A phase IIIb/IV, multicenter, open-label extension study to evaluate the efficacy, safety and tolerability of oral ziprasidone in the treatment of schizophrenia or schizoaffective disorder patients who have successfully completed a previous ziprasidone study",Pfizer Inc,Interventional,113446,1998-12-30 00:00:00,Status not specified
null,1,Phase 4 Clinical,C4,ziprasidone,2860,Efficacy,N,N,Launched,L,Bipolar disorder,653,null,An Investigation of Sleep Architecture in Ziprasidone-Treated Bipolar Depression,Queen's University at Kingston,Interventional,45727,2009-02-28 00:00:00,Completed
null,5,Phase 3 Clinical,C3,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Bipolar disorder,653,null,Risperdal Consta for Bipolar Disorder,University of Pittsburgh,Interventional,35003,2003-11-30 00:00:00,Completed
null,1,Phase 2 Clinical,C2,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Bipolar disorder,653,null,Safety Study of Ziprasidone (Geodon) for the Depressive Mixed State,Tufts University,Interventional,33942,2006-12-31 00:00:00,Completed
null,2,Phase 3 Clinical,C3,ziprasidone,2860,Efficacy,Y,N,Launched,L,Bipolar disorder,653,null,"Ziprasidone in the Treatment of Acute Mania: A 12-Week, Placebo-Controlled, Haloperidol-Referenced Study",AstraZeneca plc,Interventional,145095,null,Completed
null,2,Phase 3 Clinical,C3,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Mania,1957,null,"A phase III, multicenter, randomized, placebo-controlled, double-blind, double-dummy study to determine the safety and efficacy of oral ziprasidone compared to haloperidol in in-patients with an acute manic episode",Pfizer Inc,Interventional,86706,2002-09-13 00:00:00,Completed
null,2,Phase 4 Clinical,C4,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Mania,1957,null,A study of the efficacy and safety of intramuscular ziprasidone followed by oral ziprasidone for the treatment of psychosis,Pfizer Inc,Interventional,21413,2003-07-31 00:00:00,Completed
null,1,Phase 3 Clinical,C3,ziprasidone,2860,"Safety,Efficacy,Pharmacodynamics",N,N,Launched,L,Bipolar I disorder,3114,null,A One-Year Trial of Oral Ziprasidone in Bipolar I Patients With Metabolic Syndrome,Pfizer Inc,Interventional,66020,2010-07-31 00:00:00,Terminated
null,3,Phase 3 Clinical,C3,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Bipolar I disorder,3114,null,A 6-Week Study Evaluating The Efficacy And Safety Of Geodon In Patients With A Diagnosis Of Bipolar I Depression,Pfizer Inc,Interventional,34468,2005-07-31 00:00:00,Completed
null,1,Phase 3 Clinical,C3,ziprasidone,2860,"Safety,Efficacy",Y,N,Launched,L,Bipolar I disorder,3114,null,A 6-Week Flexible Dose Study Evaluating the Efficacy and Safety of Geodon in Patients With Bipolar I Depression,Pfizer Inc,Interventional,33854,2006-02-28 00:00:00,Completed
null,1+,Phase not specified,NS,ziprasidone,2860,Efficacy,Y,N,Launched,L,Bipolar I disorder,3114,null,"A 24-Week, Double-Blind, Placebo-Controlled Study to Determine if Patients with Bipolar I Disorder Achieve and Sustain Remission",Catholic University of Korea,Interventional,154049,null,Completed
null,1,Phase 2 Clinical,C2,"gepirone (extended release), Fabre Kramer",3203,Efficacy,Y,N,Discontinued,DX,Depression,93,null,"A phase II, uncontrolled, open-label, efficacy study of gepirone in moderately depressed patients",GlaxoSmithKline plc,Interventional,45060,1992-12-31 00:00:00,Status not specified
null,1,Phase 2 Clinical,C2,"gepirone (extended release), Fabre Kramer",3203,Efficacy,Y,N,Phase 2 Clinical,C2,Generalized anxiety disorder,1937,null,"A phase II, placebo-controlled, efficacy study of gepirone in patients with generalized anxiety disorder",GlaxoSmithKline plc,Interventional,45085,1988-12-31 00:00:00,Status not specified
null,1,Phase 4 Clinical,C4,naratriptan,3235,"Safety,Efficacy",Y,N,Launched,L,Migraine,210,null,"A phase IV, randomized, double-blind, placebo-controlled, parallel group, four perimenstrual period (PMP) to evaluate naratriptan as prophylactic treatment for menstrually-associated migraine",GlaxoSmithKline plc,Interventional,78584,1998-04-22 00:00:00,Status not specified
null,1,Phase 3 Clinical,C3,naratriptan,3235,"Safety,Efficacy",Y,N,Launched,L,Migraine,210,null,"A phase III, multicenter, randomized, double-blind, placebo-controlled, four-period crossover, multi-attack, outpatient study to evaluate the safety and efficacy of oral naratriptan in the acute treatment of four migraine attacks",GlaxoSmithKline plc,Interventional,78527,1995-07-10 00:00:00,Completed
null,1,Phase 1 Clinical,C1,naratriptan,3235,"Safety,Efficacy,Pharmacodynamics",Y,Y,Launched,L,Migraine,210,null,"A phase I, double-blind, parallel group, ascending dose, randomized, placebo-controlled study to determine the blood pressure response to naratriptan in hypertensive subjects receiving anti-hypertensive therapy",GlaxoSmithKline plc,Interventional,78523,1994-07-20 00:00:00,Completed
null,2,Phase 4 Clinical,C4,naratriptan,3235,"Safety,Efficacy",Y,N,Launched,L,Migraine,210,null,"A phase IV, randomized, double-blind, cross-over, multi-attack, outpatient study to evaluate subject satisfaction with naratriptan compared with sumatriptan in subjects who had lapsed from their previous oral or subcutaneous sumatriptan because of lack of efficacy or tolerability",GlaxoSmithKline plc,Interventional,77984,1997-12-01 00:00:00,Status not specified
null,2,Phase 1 Clinical,C1,naratriptan,3235,"Safety,Efficacy,Pharmacokinetics,Pharmacodynamics",Y,Y,Launched,L,Migraine,210,null,"A phase I, double-blind, double-dummy, randomized, placebo-controlled, four-way crossover study to assess the safety, tolerability and effect of naratriptan on psychomotor function",GlaxoSmithKline plc,Interventional,77525,1994-09-27 00:00:00,Status not specified
