Action,ActionId,AuthorityGroup,Company,CompanyId,Country,CountryId,Drug,DrugId,EntityType,HighestDevStatus,HighestDevStatusForInd,HighestDevStatusForIndId,HighestDevStatusId,Indication,IndicationId,IsActiveCompany,LatestChange,ParentCompany,ParentCompanyId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
Adjuvant,524,OTHER,Silence Therapeutics plc,22356,Tanzania,TZ,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,2003-05-06 00:00:00,DX,3,Respiratory disease,711
Antiviral,991,OTHER,Silence Therapeutics plc,22356,Zambia,ZM,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Antimicrobial,1593,OTHER,Silence Therapeutics plc,22356,Zambia,ZM,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Adjuvant,524,OTHER,Silence Therapeutics plc,22356,South Africa,ZA,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Antibacterial,1594,OTHER,Silence Therapeutics plc,22356,South Africa,ZA,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Antibacterial,1594,LOCAL_AND_MAJOR,Albert Einstein College of Medicine,24282,US,US,KOA-18,10999,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,1995-09-26 14:53:02,Yeshiva University,20704,No Development Reported,1995-09-26 00:00:00,NDR,2,Respiratory disease,711
Unspecified drug target,59620,LOCAL_AND_MAJOR,CytRx Corporation,15585,US,US,CRL-1018,11007,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,1995-09-27 00:00:00,CytRx Corporation,15585,Discontinued,1995-09-27 00:00:00,DX,3,Respiratory disease,711
Surfactant,1610,LOCAL_AND_MAJOR,CytRx Corporation,15585,US,US,CRL-1018,11007,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,1995-09-27 00:00:00,CytRx Corporation,15585,Discovery,1995-09-27 00:00:00,DR,6,Respiratory disease,711
Systemic antipsoriatic product,15184,OTHER,Silence Therapeutics plc,22356,South Africa,ZA,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Adjuvant,524,OTHER,Silence Therapeutics plc,22356,Romania,RO,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
