Action,ActionId,AuthorityGroup,Company,CompanyId,CompanyOwnershipRelationship,Country,CountryId,Drug,DrugId,DrugRelationship,EntityType,HighestPatStatus,HighestPatStatusForCnty,HighestPatStatusId,HighestPatStatusIdForCnty,Indication,IndicationId,LatestChange,ParentCompany,ParentCompanyId,Patent,PatentId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
Analgesic,2946,null,Nascime Ltd,1006865,Owner,World,WO,"bicifadine (sustained-release, pain), DOV",39897,Product,null,First Publication,First Publication,PUB,PUB,Pain,20,null,Euthymics Bioscience Inc,1052448,WO-2004012722,PA2888121,First Publication,2004-02-12 00:00:00,PUB,2,Neurological disease,677
Analgesic,2946,null,XTL Biopharmaceuticals Ltd,22124,Owner,World,WO,"bicifadine (sustained-release, pain), DOV",39897,Product,null,First Publication,First Publication,PUB,PUB,Pain,20,null,XTL Biopharmaceuticals Ltd,22124,WO-2004012722,PA2888121,First Publication,2004-02-12 00:00:00,PUB,2,Neurological disease,677
Analgesic,2946,null,Nascime Ltd,1006865,Owner,US,US,"bicifadine (sustained-release, pain), DOV",39897,Product,null,First Publication,First Priority,PUB,PRI,Pain,20,null,Euthymics Bioscience Inc,1052448,WO-2004012722,PA2888121,First Priority,2002-07-31 00:00:00,PRI,1,Neurological disease,677
Analgesic,2946,null,XTL Biopharmaceuticals Ltd,22124,Owner,US,US,"bicifadine (sustained-release, pain), DOV",39897,Product,null,First Publication,First Priority,PUB,PRI,Pain,20,null,XTL Biopharmaceuticals Ltd,22124,WO-2004012722,PA2888121,First Priority,2002-07-31 00:00:00,PRI,1,Neurological disease,677
Analgesic,2946,null,Euthymics Bioscience Inc,1052448,Owner,World,WO,"bicifadine (sustained-release, pain), DOV",39897,Product (derivative),null,First Publication,First Publication,PUB,PUB,Pain,20,null,Euthymics Bioscience Inc,1052448,WO-2004043920,PA2897870,First Publication,2004-05-27 00:00:00,PUB,2,Neurological disease,677
Analgesic,2946,null,Euthymics Bioscience Inc,1052448,Owner,World,WO,Bicifadine,39897,Product (derivative),null,First Publication,First Publication,PUB,PUB,Pain,20,null,Euthymics Bioscience Inc,1052448,WO-2004043920,PA2897870,First Publication,2004-05-27 00:00:00,PUB,2,Neurological disease,677
Analgesic,2946,null,Euthymics Bioscience Inc,1052448,Owner,US,US,"bicifadine (sustained-release, pain), DOV",39897,Product (derivative),null,First Publication,First Priority,PUB,PRI,Pain,20,null,Euthymics Bioscience Inc,1052448,WO-2004043920,PA2897870,First Priority,2002-11-08 00:00:00,PRI,1,Neurological disease,677
Analgesic,2946,null,Euthymics Bioscience Inc,1052448,Owner,US,US,Bicifadine,39897,Product (derivative),null,First Publication,First Priority,PUB,PRI,Pain,20,null,Euthymics Bioscience Inc,1052448,WO-2004043920,PA2897870,First Priority,2002-11-08 00:00:00,PRI,1,Neurological disease,677
NMDA receptor antagonist,281,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Prostate hyperplasia,1241,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Growth disorder,140
NMDA receptor antagonist,281,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Urinary incontinence,187,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
NMDA receptor antagonist,281,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Genitourinary disease,366,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
NMDA receptor antagonist,281,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Urinary dysfunction,483,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
NMDA receptor antagonist,281,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Bladder disease,486,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Norepinephrine uptake inhibitor,285,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Prostate hyperplasia,1241,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Growth disorder,140
Norepinephrine uptake inhibitor,285,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Urinary incontinence,187,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Norepinephrine uptake inhibitor,285,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Genitourinary disease,366,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Norepinephrine uptake inhibitor,285,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Urinary dysfunction,483,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Norepinephrine uptake inhibitor,285,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Bladder disease,486,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Synergist,7293,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Prostate hyperplasia,1241,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Growth disorder,140
Synergist,7293,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Urinary incontinence,187,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Synergist,7293,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Genitourinary disease,366,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Synergist,7293,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Urinary dysfunction,483,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
Synergist,7293,null,Dynogen Pharmaceuticals Inc,30151,Owner,World,WO,Bicifadine,39897,New use,null,First Publication,First Publication,PUB,PUB,Bladder disease,486,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Publication,2005-12-15 00:00:00,PUB,2,Genitourinary disease,366
NMDA receptor antagonist,281,null,Dynogen Pharmaceuticals Inc,30151,Owner,US,US,Bicifadine,39897,New use,null,First Publication,First Priority,PUB,PRI,Prostate hyperplasia,1241,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Priority,2004-06-04 00:00:00,PRI,1,Growth disorder,140
NMDA receptor antagonist,281,null,Dynogen Pharmaceuticals Inc,30151,Owner,US,US,Bicifadine,39897,New use,null,First Publication,First Priority,PUB,PRI,Urinary incontinence,187,null,Dynogen Pharmaceuticals Inc,30151,WO-2005117872,PA3068301,First Priority,2004-06-04 00:00:00,PRI,1,Genitourinary disease,366
