Action,ActionId,AuthorityGroup,Company,CompanyId,CompanyOwnershipRelationship,Country,CountryId,Drug,DrugId,DrugRelationship,EntityType,HighestPatStatus,HighestPatStatusForCnty,HighestPatStatusId,HighestPatStatusIdForCnty,Indication,IndicationId,LatestChange,ParentCompany,ParentCompanyId,Patent,PatentId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
Cardioprotectant,2659,null,Takara Bio Europe Ab,1010999,Owner,Denmark,DK,null,null,null,null,First Publication,First Priority,PUB,PRI,Morquio disease,1880,null,Takara Holdings Inc,30651,WO-2004099394,PA2917454,First Priority,2003-05-08 00:00:00,PRI,1,Cardiovascular disease,57
Cardioprotectant,2659,null,Takara Bio Europe Ab,1010999,Owner,US,US,null,null,null,null,First Publication,First Priority,PUB,PRI,Morquio disease,1880,null,Takara Holdings Inc,30651,WO-2004099394,PA2917454,First Priority,2003-05-08 00:00:00,PRI,1,Cardiovascular disease,57
Cardioprotectant,2659,null,Takara Bio Europe Ab,1010999,Owner,World,WO,null,null,null,null,First Publication,First Publication,PUB,PUB,Morquio disease,1880,null,Takara Holdings Inc,30651,WO-2004099394,PA2917454,First Publication,2004-11-18 00:00:00,PUB,2,Cardiovascular disease,57
Alpha-glucosidase inhibitor,184,null,Hospital for Sick Children,16994,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,Hospital for Sick Children,16994,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Alpha-glucosidase inhibitor,184,null,University of Alberta,20525,Third Party,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,University of Alberta,20525,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Alpha-glucosidase inhibitor,184,null,McMaster University,21238,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,McMaster University,21238,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Beta-N-acetylhexosaminidase inhibitor,676,null,Hospital for Sick Children,16994,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,Hospital for Sick Children,16994,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Beta-N-acetylhexosaminidase inhibitor,676,null,University of Alberta,20525,Third Party,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,University of Alberta,20525,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Beta-N-acetylhexosaminidase inhibitor,676,null,McMaster University,21238,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,McMaster University,21238,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Glucosylceramidase inhibitor,7162,null,Hospital for Sick Children,16994,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,Hospital for Sick Children,16994,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Glucosylceramidase inhibitor,7162,null,University of Alberta,20525,Third Party,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,University of Alberta,20525,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
Glucosylceramidase inhibitor,7162,null,McMaster University,21238,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,McMaster University,21238,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
CNS diagnostic agent,7211,null,Hospital for Sick Children,16994,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,Hospital for Sick Children,16994,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
CNS diagnostic agent,7211,null,University of Alberta,20525,Third Party,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,University of Alberta,20525,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
CNS diagnostic agent,7211,null,McMaster University,21238,Owner,US,US,probucol,13513,General interest,null,Granted,Granted,GRT,GRT,Morquio disease,1880,null,McMaster University,21238,US-07488721,PA3074149,First Priority,2004-05-13 00:00:00,PRI,1,Cardiovascular disease,57
