Ancestry,DevStatus,DevStatusId,Drug,DrugId,Endpoint,Indication,IndicationId,OriginatorSponsored,Patients,ProtocolTitle,TrialEndDateActual,TrialEndDateCalc,TrialEndDateEstimate,TrialEndDateGiven,TrialId,TrialStartDate,TrialStatus
null,Phase 3 Clinical,C3,Meningitec,10593,"Safety,Efficacy",Measles virus infection,1,N,1000,Safety And Immunogenicity Study of Meningococcal Vaccine GSK-134612 Given With Priorix-Tetra to 12 to 23 Months-Old Children,2008-03-26 00:00:00,2008-11-22 00:00:00,null,2008-03-26 00:00:00,9859,2007-06-05 00:00:00,Completed
null,Phase 3 Clinical,C3,Priorix-Tetra,17141,"Safety,Efficacy",Measles virus infection,1,N,1000,Safety And Immunogenicity Study of Meningococcal Vaccine GSK-134612 Given With Priorix-Tetra to 12 to 23 Months-Old Children,2008-03-26 00:00:00,2008-11-22 00:00:00,null,2008-03-26 00:00:00,9859,2007-06-05 00:00:00,Completed
null,Phase 2 Clinical,C2,Priorix,11457,"Safety,Efficacy",Measles virus infection,1,N,1220,"Immunogenicity of GSK's MMR Vaccine (209762) versus M-M-R II, When Given With Routine Vaccines at 12 to 15 Months of Age",2012-06-30 00:00:00,2010-12-28 00:00:00,null,2012-06-30 00:00:00,79465,2009-06-30 00:00:00,Completed
null,Phase 2 Clinical,C2,Prevnar,4144,"Safety,Efficacy",Measles virus infection,1,Y,1783,Immunogenicity and Safety of GlaxoSmithKline Biologicals' MMRV Vaccine versus ProQuad in Children 12 to 14 Months of Age,2009-03-31 00:00:00,2009-05-15 00:00:00,null,2009-03-31 00:00:00,11526,2007-11-30 00:00:00,Completed
null,Phase 3 Clinical,C3,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,N,1128,"A Study of Two Doses of Menactra, a Meningococcal Conjugate Vaccine in Healthy Toddlers",2009-02-28 00:00:00,2008-04-19 12:00:00,null,2009-02-28 00:00:00,9949,2006-09-30 00:00:00,Completed
null,Phase not specified,NS,varicella-zoster vaccine (Varivax/Zostavax),4645,"Safety,Efficacy",Measles virus infection,1,Y,165,"A Study To Evaluate The Safety And Immunogenicity of a combined live attenuated measles, mumps, rubella and varicella vaccine, ProQuad In Healthy Children",null,1998-06-16 00:00:00,null,null,15333,1996-12-31 00:00:00,No longer recruiting
null,Phase not specified,NS,ProQuad,47279,"Safety,Efficacy",Measles virus infection,1,Y,null,"A randomized, multicenter comparative study to evaluate the safety and immunogenicity Of ProQuad when administered in combination with other vaccines against Varivax and MMR II when co-administered with the same vaccines",null,1999-07-01 00:00:00,null,null,17509,1997-12-31 00:00:00,No longer recruiting
null,Phase 3b Clinical,C3B,Priorix-Tetra,17141,"Safety,Efficacy",Measles virus infection,1,N,330,Immunogenicity/Safety of Measles-Mumps-Rubella-Varicella Vaccine (MeMuRu-OKA): Using Two Different Administration Routes,2006-12-31 00:00:00,2007-09-29 00:00:00,null,2006-12-31 00:00:00,11963,2006-03-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Priorix,11457,"Safety,Efficacy",Measles virus infection,1,N,869,"Immunogenicity and Safety of GSK Biologicals Combined Measles-Mumps-Rubella Vaccine in Volunteers, 7 Years of Age and Older",2015-09-17 00:00:00,2015-12-29 00:00:00,null,2015-09-17 00:00:00,172270,2014-07-01 00:00:00,Completed
null,Phase 3 Clinical,C3,Priorix,11457,"Safety,Efficacy",Measles virus infection,1,Y,1560,"Study of Immunogenicity, Reactogenicity and Safety of the Combined Measles, Mumps and Rubella Vaccine Produced by Bio-Manguinhos/Fiocruz in Children 12 to 15 Months of Age, Followed by Tetraviral Vaccine in Children 15 to 18 Months",2016-07-31 00:00:00,2016-08-28 00:00:00,null,2016-07-31 00:00:00,161697,2015-02-28 00:00:00,Completed
null,Phase 2 Clinical,C2,"second-generation MMR vaccine, Berna",41069,"Safety,Efficacy,Pharmacodynamics",Measles virus infection,1,Y,467,"A phase II, multicenter, open, randomized study to compare the safety and immunogenicity of MMR vaccine, Berna with MMR vaccine, Merck & Co in children",null,2007-06-30 00:00:00,null,null,17279,2005-12-31 00:00:00,Completed
null,Phase 2 Clinical,C2,Priorix,11457,"Safety,Efficacy",Measles virus infection,1,N,216,B Cell Response to a Primary and a Booster Course of the Novartis Meningococcal ACWY Conjugate Vaccine in Healthy Infants,2009-06-30 00:00:00,2008-12-31 00:00:00,null,2009-06-30 00:00:00,10223,2007-07-31 00:00:00,Completed
null,Phase 3a Clinical,C3A,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,N,4538,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biological's Combined Measles-mumps-rubella (MMR) Vaccine in Children in Their Second Year of Life,2015-08-18 00:00:00,2014-04-09 00:00:00,null,2015-08-18 00:00:00,91153,2012-10-10 00:00:00,Completed
null,Phase 3a Clinical,C3A,varicella-zoster vaccine (Varivax/Zostavax),4645,"Safety,Efficacy",Measles virus infection,1,N,1736,"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age",2015-12-22 00:00:00,2016-02-22 00:00:00,null,2015-12-22 00:00:00,203343,2014-08-25 00:00:00,Completed
null,Phase 2 Clinical,C2,Prevnar,4144,"Safety,Efficacy",Measles virus infection,1,N,216,B Cell Response to a Primary and a Booster Course of the Novartis Meningococcal ACWY Conjugate Vaccine in Healthy Infants,2009-06-30 00:00:00,2008-12-31 00:00:00,null,2009-06-30 00:00:00,10223,2007-07-31 00:00:00,Completed
null,Phase 3 Clinical,C3,varicella-zoster vaccine (Varivax/Zostavax),4645,"Safety,Efficacy",Measles virus infection,1,N,600,Evaluation of Immunogenicity and Safety of VARIVAX Passage Extension 34 (PE34) Process in Children,2019-04-02 00:00:00,2019-04-17 00:00:00,null,2019-04-02 00:00:00,307614,2017-10-17 00:00:00,Completed
null,Phase 2 Clinical,C2,Havrix,6621,"Safety,Efficacy",Measles virus infection,1,N,1220,"Immunogenicity of GSK's MMR Vaccine (209762) versus M-M-R II, When Given With Routine Vaccines at 12 to 15 Months of Age",2012-06-30 00:00:00,2010-12-28 00:00:00,null,2012-06-30 00:00:00,79465,2009-06-30 00:00:00,Completed
null,Phase 3 Clinical,C3,Pentaxim,59852,"Safety,Efficacy",Measles virus infection,1,Y,2475,Immunogenicity and Safety of a Quadrivalent Meningococcal Conjugate Vaccine When Administered Concomitantly With Routine Pediatric Vaccines in Healthy Infants and Toddlers in the US,null,2020-04-24 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00,340960,2018-04-25 00:00:00,Recruiting
null,Phase 2 Clinical,C2,MV-CHIK,75100,"Safety,Efficacy",Measles virus infection,1,Y,263,Phase II Study to Evaluate Safety and Immunogenicity of a Chikungunya Vaccine,2018-04-16 00:00:00,2018-04-03 12:00:00,null,2018-04-16 00:00:00,268409,2016-08-17 00:00:00,Completed
null,Phase 2 Clinical,C2,Prevnar 13,34281,"Safety,Efficacy",Measles virus infection,1,N,213,Baby Vaccine Study,null,2017-03-09 00:00:00,2019-01-31 00:00:00,2019-01-31 00:00:00,233238,2015-08-31 00:00:00,No longer recruiting
null,Phase 1 Clinical,C1,"double viral vaccine (measles/rubella), Bio-Manguinhos/Fiocruz",99042,"Safety,Efficacy",Measles virus infection,1,Y,30,Study to Evaluate Safety and Imunogenicity of Double Viral Vaccine (MR) for Measles and Rubella,2016-03-31 00:00:00,2017-03-30 00:00:00,null,2016-03-31 00:00:00,206205,2015-09-30 00:00:00,Completed
null,Phase 2 Clinical,C2,Rotarix,12813,"Safety,Efficacy",Measles virus infection,1,N,213,Baby Vaccine Study,null,2017-03-09 00:00:00,2019-01-31 00:00:00,2019-01-31 00:00:00,233238,2015-08-31 00:00:00,No longer recruiting
null,Phase 4 Clinical,C4,SA-14-14-2,60890,"Safety,Efficacy",Measles virus infection,1,N,628,Immunogenicity and Safety of Japanese Encephalitis Vaccine When Given With Measles-Mumps-Rubella Vaccine,null,2018-04-16 00:00:00,2017-06-30 00:00:00,2017-06-30 00:00:00,269874,2016-10-31 00:00:00,Recruiting
null,Phase 3a Clinical,C3A,Prevnar 13,34281,"Safety,Efficacy",Measles virus infection,1,N,1736,"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age",2015-12-22 00:00:00,2016-02-22 00:00:00,null,2015-12-22 00:00:00,203343,2014-08-25 00:00:00,Completed
null,Phase 3 Clinical,C3,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,N,869,"Immunogenicity and Safety of GSK Biologicals Combined Measles-Mumps-Rubella Vaccine in Volunteers, 7 Years of Age and Older",2015-09-17 00:00:00,2015-12-29 00:00:00,null,2015-09-17 00:00:00,172270,2014-07-01 00:00:00,Completed
null,Phase 3 Clinical,C3,varicella-zoster vaccine (Varivax/Zostavax),4645,"Safety,Efficacy",Measles virus infection,1,N,822,Frozen ProQuad Administered Concomitantly Versus Nonconcomitantly With Other Pediatric Vaccines,2001-12-31 00:00:00,2001-12-29 00:00:00,null,2001-12-31 00:00:00,60653,2000-06-30 00:00:00,Completed
null,Phase not specified,NS,Priorix,11457,"Safety,Efficacy,Bioequivalence",Measles virus infection,1,Y,1390,"A Study To Compare The Safety, Immunogenicity, and Consistency Of Three Production Lots Of Priorix With MMR II Vaccine",null,2001-03-29 00:00:00,null,null,15243,1999-09-30 00:00:00,No longer recruiting
null,Phase 3 Clinical,C3,Priorix,11457,"Safety,Efficacy",Measles virus infection,1,Y,21,"A Comparative, Randomized, Phase III Study To Evaluate the Immunogenicity Of Priorix-Tetra With Priorix And Varilrix In Healthy Children",2001-10-10 00:00:00,2000-06-30 00:00:00,null,2001-10-10 00:00:00,15250,1998-12-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Vaxelis,56585,"Safety,Efficacy",Measles virus infection,1,N,284,Immunogenicity and Safety of V-419 (PR-51) in Combination With MCC in Infants and Toddlers,2013-09-27 00:00:00,2013-12-28 00:00:00,null,2013-09-27 00:00:00,85664,2012-03-30 00:00:00,Completed
null,Phase 2 Clinical,C2,Prevnar,4144,"Safety,Efficacy",Measles virus infection,1,N,1220,"Immunogenicity of GSK's MMR Vaccine (209762) versus M-M-R II, When Given With Routine Vaccines at 12 to 15 Months of Age",2012-06-30 00:00:00,2010-12-28 00:00:00,null,2012-06-30 00:00:00,79465,2009-06-30 00:00:00,Completed
null,Phase 3 Clinical,C3,"polio vaccine, Sanofi Pasteur",44408,"Safety,Efficacy",Measles virus infection,1,N,3340,Study of DTap-IPV Compared to Daptacel and IPOL as the Fifth Dose in Children 4 to 6 Years of Age,2013-09-30 00:00:00,2012-09-30 00:00:00,null,2013-09-30 00:00:00,77052,2011-04-30 00:00:00,Completed
null,Phase 3 Clinical,C3,Priorix-Tetra,17141,Safety,Measles virus infection,1,Y,559,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",null,2007-05-31 00:00:00,null,null,11387,2005-11-30 00:00:00,Completed
null,Phase 2 Clinical,C2,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,Y,1551,ProQuad Dose Selection Study,2000-09-30 00:00:00,2000-10-28 00:00:00,null,2000-09-30 00:00:00,60684,1999-04-30 00:00:00,Completed
null,Phase 3 Clinical,C3,Prevnar 13,34281,"Safety,Efficacy",Measles virus infection,1,N,284,Immunogenicity and Safety of V-419 (PR-51) in Combination With MCC in Infants and Toddlers,2013-09-27 00:00:00,2013-12-28 00:00:00,null,2013-09-27 00:00:00,85664,2012-03-30 00:00:00,Completed
null,Phase 3 Clinical,C3,Prevnar 13,34281,"Safety,Efficacy,Pharmacokinetics",Measles virus infection,1,N,5016,Consistency Study of GlaxoSmithKline(GSK) Biologicals MMR Vaccine (209762)(Priorix) Comparing Immunogenicity and Safety to Merck and Co Inc's MMR Vaccine (MMR II) in Children 12 to 15 Months of Age,2015-04-16 00:00:00,2014-05-09 00:00:00,null,2015-04-16 00:00:00,94105,2012-11-09 00:00:00,Completed
null,Phase 2/Phase 3 Clinical,C23,Trivivac,83793,"Safety,Efficacy",Measles virus infection,1,N,200,Immunogenicity and Reactogenicity of a Trivalent MMR (Trivivac) in Healthy Infants,null,2014-03-30 00:00:00,2015-08-31 00:00:00,2015-08-31 00:00:00,104131,2012-09-30 00:00:00,Recruiting
null,Phase not specified,NS,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,Y,null,"A Randomized, Multicenter Comparative Study To Evaluate The Safety And Immunogenicity Of ProQuad With MMR II Plus Varivax",null,1999-06-16 00:00:00,null,null,15317,1997-12-31 00:00:00,No longer recruiting
null,Phase 2 Clinical,C2,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,N,1220,"Immunogenicity of GSK's MMR Vaccine (209762) versus M-M-R II, When Given With Routine Vaccines at 12 to 15 Months of Age",2012-06-30 00:00:00,2010-12-28 00:00:00,null,2012-06-30 00:00:00,79465,2009-06-30 00:00:00,Completed
null,Phase 2 Clinical,C2,M-M-R II,3643,"Safety,Efficacy,Bioequivalence",Measles virus infection,1,Y,25,A Study To Compare The Bioequivalence Of Proquad With Standard MMR And Varicella Vaccines,null,1988-06-15 00:00:00,null,null,15335,1986-12-31 00:00:00,No longer recruiting
null,Phase 3a Clinical,C3A,Havrix,6621,"Safety,Efficacy",Measles virus infection,1,N,1736,"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age",2015-12-22 00:00:00,2016-02-22 00:00:00,null,2015-12-22 00:00:00,203343,2014-08-25 00:00:00,Completed
null,Phase 3 Clinical,C3,RotaTeq,22877,"Safety,Efficacy",Measles virus infection,1,Y,2475,Immunogenicity and Safety of a Quadrivalent Meningococcal Conjugate Vaccine When Administered Concomitantly With Routine Pediatric Vaccines in Healthy Infants and Toddlers in the US,null,2020-04-24 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00,340960,2018-04-25 00:00:00,Recruiting
Asian Ancestry,Phase 3 Clinical,C3,varicella-zoster vaccine (Varivax/Zostavax),4645,"Safety,Efficacy",Measles virus infection,1,Y,30,A study of ProQuad in healthy Korean children,2008-05-31 00:00:00,2009-08-29 00:00:00,null,2008-05-31 00:00:00,44865,2008-02-29 00:00:00,Terminated
null,Phase 2 Clinical,C2,Infanrix Quinta,17674,"Safety,Efficacy",Measles virus infection,1,N,213,Baby Vaccine Study,null,2017-03-09 00:00:00,2019-01-31 00:00:00,2019-01-31 00:00:00,233238,2015-08-31 00:00:00,No longer recruiting
null,Phase 3 Clinical,C3,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,N,600,Evaluation of Immunogenicity and Safety of VARIVAX Passage Extension 34 (PE34) Process in Children,2019-04-02 00:00:00,2019-04-17 00:00:00,null,2019-04-02 00:00:00,307614,2017-10-17 00:00:00,Completed
null,Phase 3 Clinical,C3,JVC-001,99518,"Safety,Efficacy",Measles virus infection,1,Y,null,"A phase III clinical trial of JVC-001 for the prevention of measles, mumps and rubella infection",null,null,null,null,350532,null,Planned
null,Phase 1 Clinical,C1,"live-attenuated viral vaccine (sc, measles/rubella virus infection), Indian Immunologicals",115970,"Safety,Efficacy",Measles virus infection,1,Y,55,A clinical trial to evaluate the safety and immunogenicity of HBI Measles and Rubella vaccine (Live) in two age groups of healthy male subjects,null,2020-10-15 00:00:00,null,null,377732,2019-04-17 00:00:00,Not yet recruiting
null,Phase 1 Clinical,C1,"MV-NIS (lung cancer), Vyriad",101326,"Safety,Efficacy",Measles virus infection,1,Y,4,Trial of Measles Virotherapy in Combination With Atezolizumab in Patients With Metastatic Non-Small Cell Lung Cancer,2018-01-19 00:00:00,2020-12-20 00:00:00,null,2018-01-19 00:00:00,273428,2017-08-03 00:00:00,Terminated
null,Phase 3 Clinical,C3,ProQuad,47279,"Safety,Efficacy",Measles virus infection,1,N,822,Frozen ProQuad Administered Concomitantly Versus Nonconcomitantly With Other Pediatric Vaccines,2001-12-31 00:00:00,2001-12-29 00:00:00,null,2001-12-31 00:00:00,60653,2000-06-30 00:00:00,Completed
null,Phase 3 Clinical,C3,Priorix,11457,"Safety,Efficacy,Pharmacokinetics",Measles virus infection,1,N,5016,Consistency Study of GlaxoSmithKline(GSK) Biologicals MMR Vaccine (209762)(Priorix) Comparing Immunogenicity and Safety to Merck and Co Inc's MMR Vaccine (MMR II) in Children 12 to 15 Months of Age,2015-04-16 00:00:00,2014-05-09 00:00:00,null,2015-04-16 00:00:00,94105,2012-11-09 00:00:00,Completed
null,Phase 3b Clinical,C3B,Priorix,11457,"Safety,Efficacy",Measles virus infection,1,Y,5803,"Evaluate Vaccine Against Chickenpox and a Combined Vaccine Against 4 Viral Childhood Diseases: Measles, Mumps, Rubella and Chickenpox",2006-10-31 00:00:00,2007-03-30 00:00:00,null,2006-10-31 00:00:00,11418,2005-09-30 00:00:00,Completed
null,Phase 3 Clinical,C3,"Haemophilus influenzae B (Hib) vaccine, Aventis Pasteur",7167,"Safety,Efficacy",Measles virus infection,1,N,1128,"A Study of Two Doses of Menactra, a Meningococcal Conjugate Vaccine in Healthy Toddlers",2009-02-28 00:00:00,2008-04-19 12:00:00,null,2009-02-28 00:00:00,9949,2006-09-30 00:00:00,Completed
null,Phase 2 Clinical,C2,Priorix,11457,"Safety,Efficacy",Measles virus infection,1,N,458,"Immunogenicity, Safety of Measles-Mumps-Rubella-Varicella Vaccine (MeMuRu-OKA) Compared to Priorix Given With Varilrix",2006-11-01 00:00:00,2007-09-28 00:00:00,null,2006-11-01 00:00:00,102759,2006-03-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Priorix-Tetra,17141,"Safety,Efficacy",Measles virus infection,1,N,970,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",2005-11-30 00:00:00,2006-11-14 00:00:00,null,2005-11-30 00:00:00,11388,2005-05-31 00:00:00,Completed
null,Phase 4 Clinical,C4,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,N,74,"Measles, Mumps, and Rubella (MMR) Immunity in College Students",2012-12-01 00:00:00,2011-09-28 00:00:00,2012-12-31 00:00:00,2012-12-01 00:00:00,59758,2010-03-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Varilrix,9474,"Safety,Efficacy",Measles virus infection,1,N,970,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",2005-11-30 00:00:00,2006-11-14 00:00:00,null,2005-11-30 00:00:00,11388,2005-05-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Vaxelis,56585,"Safety,Efficacy",Measles virus infection,1,N,312,Concomitant Administration of a New Hexavalent Vaccine With a Meningococcal Serogroup C Conjugate Vaccine in Healthy Infants During Primary Series Immunization Followed by Booster Vaccination,2015-02-28 00:00:00,2015-01-28 00:00:00,null,2015-02-28 00:00:00,124248,2013-04-30 00:00:00,Completed
null,Phase 4 Clinical,C4,"MMR vaccine, Bio-Manguinhos/Fiocruz",94952,"Safety,Efficacy",Measles virus infection,1,Y,240,"Comparative Study of the Immunogenicity of MMR (Measles, Mumps and Rubella) Single- Dose and Multidose Presentations",2013-12-31 00:00:00,2014-04-30 00:00:00,null,2013-12-31 00:00:00,106360,2012-10-31 00:00:00,Completed
null,Phase 3a Clinical,C3A,M-M-R II,3643,"Safety,Efficacy",Measles virus infection,1,N,4011,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biologicals' Combined Measles-mumps-rubella (MMR) Vaccine in Subjects 4 to 6 Years of Age,2015-11-09 00:00:00,2013-12-19 00:00:00,null,2015-11-09 00:00:00,88475,2012-06-21 00:00:00,Completed
null,Phase 3 Clinical,C3,Varilrix,9474,"Safety,Efficacy",Measles virus infection,1,Y,21,"A Comparative, Randomized, Phase III Study To Evaluate the Immunogenicity Of Priorix-Tetra With Priorix And Varilrix In Healthy Children",2001-10-10 00:00:00,2000-06-30 00:00:00,null,2001-10-10 00:00:00,15250,1998-12-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Menactra,30177,Safety,Measles virus infection,1,N,1378,Study of the Safety of Menactra Vaccine When Administered With Other Pediatric Vaccines to Healthy Toddlers,2009-04-30 00:00:00,2008-12-09 00:00:00,null,2009-04-30 00:00:00,9965,2007-05-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Menactra,30177,"Safety,Efficacy",Measles virus infection,1,N,1664,Immunogenicity and Safety of Pediatric Vaccines When Administered With Menactra in Healthy Toddlers,2009-04-30 00:00:00,2008-07-20 12:00:00,null,2009-04-30 00:00:00,9967,2006-12-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Havrix,6621,"Safety,Efficacy,Pharmacokinetics",Measles virus infection,1,N,5016,Consistency Study of GlaxoSmithKline(GSK) Biologicals MMR Vaccine (209762)(Priorix) Comparing Immunogenicity and Safety to Merck and Co Inc's MMR Vaccine (MMR II) in Children 12 to 15 Months of Age,2015-04-16 00:00:00,2014-05-09 00:00:00,null,2015-04-16 00:00:00,94105,2012-11-09 00:00:00,Completed
null,Phase 2 Clinical,C2,Priorix-Tetra,17141,"Safety,Efficacy",Measles virus infection,1,N,400,"Immunogenicity, Safety of Measles-mumps-rubella-varicella Vaccine (MeMuRu-OKA) Compared to Priorix Given With Varilrix",2006-11-30 00:00:00,2007-10-29 00:00:00,null,2006-11-30 00:00:00,187831,2006-04-30 00:00:00,Completed
