Ancestry,ArmCount,DevStatus,DevStatusId,Drug,DrugId,Endpoint,EndpointReached,HasHealthyVolunteers,HighestDevStatusForInd,HighestDevStatusForIndId,Indication,IndicationId,ProtocolAcronym,ProtocolTitle,Sponsor,StudyType,TrialId,TrialStartDate,TrialStatus
null,1+,Phase 1b Clinical,C1B,tucotuzumab celmoleukin,21065,"Safety,Efficacy,Pharmacokinetics",Y,N,Discontinued,DX,Ovary tumor,799,null,"EMD-273066 in Patients With Recurrent EpCAM Positive Ovarian, Prostate, Colorectal or Non-Small Cell Lung Cancers When First Given Cyclophosphamide",Merck KGaA,Interventional,28529,2005-05-31 00:00:00,Completed
null,1,Phase 1/Phase 2 Clinical,C12,AFTVac,55115,"Safety,Efficacy",Y,N,Phase 2 Clinical,C2,Hepatocellular carcinoma,1767,null,"A phase I/IIa, safety and efficacy study of AFTVac in hepatocellular carcinoma patients",Cell-Medicine Inc,Interventional,37218,2002-04-30 00:00:00,Status not specified
null,2,Phase 3 Clinical,C3,bempegaldesleukin,77588,"Safety,Efficacy,Pharmacokinetics",N,N,Phase 3 Clinical,C3,Stage IV melanoma,3257,null,A Study of NKTR-214 Combined With Nivolumab versus Nivolumab Alone in Participants With Previously Untreated Inoperable or Metastatic Melanoma,"Bristol-Myers Squibb Co, bristol myers squibb international corporation belgium",Interventional,350572,2018-09-14 00:00:00,Recruiting
null,1+,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,"Safety,Efficacy",Y,N,Phase 3 Clinical,C3,Stage IV melanoma,3257,REVEAL,A Study of NKTR-262 in Combination With NKTR-214 and With NKTR-214 Plus Nivolumab in Patients With Locally Advanced or Metastatic Solid Tumor Malignancies,Nektar Therapeutics,Interventional,329566,2018-03-15 00:00:00,Recruiting
null,1,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,"Safety,Efficacy,Pharmacokinetics,Pharmacodynamics",Y,N,Phase 3 Clinical,C3,Stage IV melanoma,3257,null,"A Phase I/II, Multicenter, Dose-Escalation and Expansion Study Of NKTR-214 In Subjects With Locally Advanced Or Metastatic Solid Tumors",Nektar Therapeutics,Interventional,268769,2015-12-31 00:00:00,Completed
null,1,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,"Safety,Efficacy,Pharmacokinetics,Pharmacodynamics",Y,N,Phase 2 Clinical,C2,Metastatic non small cell lung cancer,3665,null,"A Phase I/II, Multicenter, Dose-Escalation and Expansion Study Of NKTR-214 In Subjects With Locally Advanced Or Metastatic Solid Tumors",Nektar Therapeutics,Interventional,268769,2015-12-31 00:00:00,Completed
Japanese Ancestry,1,Phase 1 Clinical,C1,bempegaldesleukin,77588,"Safety,Efficacy,Pharmacokinetics",N,N,Phase 2 Clinical,C2,Advanced solid tumor,3713,null,An Investigational Study of NKTR-214 Combined With Nivolumab in Japanese Participants With Advanced Solid Tumors,Bristol-Myers Squibb Co,Interventional,360513,2019-02-12 00:00:00,Recruiting
null,2,Phase 3 Clinical,C3,bempegaldesleukin,77588,"Safety,Efficacy",N,N,Phase 3 Clinical,C3,Metastatic renal cell carcinoma,4250,PIVOT-09,A phase III clinical study to assess the effect of bempegaldesleukin in combination with nivolumab compared to tyrosine kinase inhibitor (TKI) monotherapy in patients with advanced metastatic renal cell carcinoma,Nektar Therapeutics,Interventional,372111,2018-12-31 00:00:00,Recruiting
null,1,Phase 1 Clinical,C1,CUE-101,105120,"Safety,Efficacy,Pharmacokinetics",N,N,Discovery,DR,Squamous cell carcinoma,307,null,A Phase I Study in Patients With HPV+ Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma,Cue Biopharma Inc,Interventional,383734,2019-06-30 00:00:00,Not yet recruiting
null,1,Phase 1 Clinical,C1,CUE-101,105120,"Safety,Efficacy,Pharmacokinetics",N,N,Discovery,DR,Metastatic head and neck cancer,3673,null,A Phase I Study in Patients With HPV+ Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma,Cue Biopharma Inc,Interventional,383734,2019-06-30 00:00:00,Not yet recruiting
