ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
2+,Body temperature,Measles virus infection,Havrix; Prevnar 13; Varivax,Phase 3a Clinical,C3A,Prevnar 13,34281,1743,Havrix; M-M-R II; Prevnar 13; Priorix; Varivax,1736,null,"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age",115650; 2011-006161-18; MMR-162; NCT02184572,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",203343,"AUGUST   , 25, 2014",Completed
2,null,Measles virus infection,MMR-II; PUVV,Phase 2 Clinical,C2,ProQuad,47279,1551,ProQuad,1551,null,ProQuad Dose Selection Study,2009_667; NCT00986232; V221-011,Merck & Co Inc,60684,"APRIL    , 30, 1999",Completed
6,null,Measles virus infection,Comvax; Tripedia; Varivax,Phase 3 Clinical,C3,varicella-zoster vaccine (Varivax/Zostavax),4645,1913,Comvax; ProQuad; Tripedia,822,null,Frozen ProQuad Administered Concomitantly Versus Nonconcomitantly With Other Pediatric Vaccines,2009_666; NCT00984295; V221-013,Merck Sharp & Dohme Corp,60653,"JUNE     , 30, 2000",Completed
2+,Anti-Bordetella pertussis antibodies; Anti-Bordetella pertussis filamentous hemagglutinin adhesin antibodies; Anti-Bordetella pertussis pertactin antibodies; Anti-Clostridium tetani antibodies; Anti-Corynebacterium diphtheriae antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies,Measles virus infection,"Infanrix-IPV; MMR vaccine, Merck & Co; ProQuad",Phase 3a Clinical,C3A,Priorix,11457,4011,"Infanrix-IPV; MMR vaccine, Merck & Co; Priorix; Priorix; ProQuad",4011,MMR-158,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biologicals' Combined Measles-mumps-rubella (MMR) Vaccine in Subjects 4 to 6 Years of Age,115158; 2011-004638-32; 209762; MMR-158; NCT01621802,GlaxoSmithKline plc,88475,"JUNE     , 21, 2012",Completed
4+,null,Measles virus infection,"Haemophilus influenzae B (Hib) vaccine, Aventis Pasteur; ROR Vax",Phase 3 Clinical,C3,M-M-R II,3643,1128,Menactra; Menactra; PCV; ROR Vax,1128,null,"A Study of Two Doses of Menactra, a Meningococcal Conjugate Vaccine in Healthy Toddlers",MTA44; NCT00384397,Sanofi SA,9949,"SEPTEMBER, 30, 2006",Completed
1,null,Measles virus infection,null,Phase 4 Clinical,C4,Priorix-Tetra,17141,1439,Priorix-Tetra,1439,null,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",104020; 2004-005123-18; MeMuRu-OKA 043; NCT00126997,GlaxoSmithKline plc,11389,"MAY      , 31, 2005",Completed
5,Anti varicella zoster virus antibodies; Body temperature,Measles virus infection,"MMR vaccine, Merck & Co",Phase 3 Clinical,C3,varicella-zoster vaccine (Varivax/Zostavax),4645,5016,Priorix,5016,MMR-160,Consistency Study of GlaxoSmithKline(GSK) Biologicals MMR Vaccine (209762)(Priorix) Comparing Immunogenicity and Safety to Merck and Co Inc's MMR Vaccine (MMR II) in Children 12 to 15 Months of Age,115648; 2011-004891-12; MMR-160; NCT01702428,GlaxoSmithKline plc,94105,"NOVEMBER , 09, 2012",Completed
2,Body temperature,Measles virus infection,M-M-R II,Phase 3 Clinical,C3,M-M-R II,3643,752,Varivax,752,null,Immunogenicity and Safety of Concomitant Administration of MMR rHA and VARIVAX by Intramuscular Versus Subcutaneous Route,EudraCT#2004_002586_21; NCT00432523; V205-011; X04-MMRr-301,Merck Sharp & Dohme Corp,11525,"JANUARY  , 31, 2005",Completed
2,null,Measles virus infection,MMR-II; PUVV,Phase 2 Clinical,C2,M-M-R II,3643,1551,ProQuad,1551,null,ProQuad Dose Selection Study,2009_667; NCT00986232; V221-011,Merck & Co Inc,60684,"APRIL    , 30, 1999",Completed
1+,Anti-Clostridium tetani antibodies; Anti-Corynebacterium diphtheriae antibodies; Anti-Hepatitis B virus antibodies; Anti-Meningitis A virus antibodies; Anti-Meningitis C virus antibodies; Anti-Meningitis Y virus antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies; Anti-polyribitol phosphate antibodies; Anti-polyribosylribitol phosphate,Measles virus infection,M-M-RvaxPRO; Nimenrix; Prevnar 13; RotaTeq; V-419,Phase 3 Clinical,C3,Vaxelis,56585,350,M-M-RvaxPRO; NeisVac-C; Nimenrix; Prevnar 13; RotaTeq; V-419,312,null,Concomitant Administration of a New Hexavalent Vaccine With a Meningococcal Serogroup C Conjugate Vaccine in Healthy Infants During Primary Series Immunization Followed by Booster Vaccination,2012-005547-24; EUCTR2012-005547-24; HXM01C; NCT01839175,"Sanofi Pasteur MSD, Sanofi SA",124248,"APRIL    , 30, 2013",Completed
3,Immunoglobulin G; Serum bactericidal antibody,Measles virus infection,null,Phase 4 Clinical,C4,Menitorix,11458,200,Menitorix; Prevnar 13; Priorix,200,P13Boost,Responses to booster vaccinations in UK toddlers,12/LO/1875; 2012-005110-18; HPA Protocol No: 12/05; ISRCTN84763401; P13Boost; UKCRN 13975,Health Protection Agency,132011,"FEBRUARY , 01, 2013",Completed
1+,Anti-Measles antibodies; Anti-Parotitis virus antibodies; Anti-Rubella antibodies; Body temperature,Measles virus infection,Havrix; M-M-R II; Prevnar 13; Varivax,Phase 3a Clinical,C3A,M-M-R II,3643,4538,Havrix; Prevnar 13; Priorix; Varivax,4538,null,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biological's Combined Measles-mumps-rubella (MMR) Vaccine in Children in Their Second Year of Life,115649; 15049; 2011-004905-26; MMR-161; NCT01681992; NMRR-13-165-15049,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",91153,"OCTOBER  , 10, 2012",Completed
2,null,Measles virus infection,null,Phase 3 Clinical,C3,"MMR vaccine, Bio-Manguinhos/Fiocruz",94952,1560,"MMR vaccine, Bio-Manguinhos/Fiocruz; Priorix",1560,null,"Study of Immunogenicity, Reactogenicity and Safety of the Combined Measles, Mumps and Rubella Vaccine Produced by Bio-Manguinhos/Fiocruz in Children 12 to 15 Months of Age, Followed by Tetraviral Vaccine in Children 15 to 18 Months",ASCLIN/002/2013; NCT01991899,Bio-Manguinhos/Fiocruz,161697,"FEBRUARY , 28, 2015",Completed
2+,Body temperature,Measles virus infection,Havrix; Prevnar 13; Varivax,Phase 3a Clinical,C3A,Havrix,6621,1743,Havrix; M-M-R II; Prevnar 13; Priorix; Varivax,1736,null,"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age",115650; 2011-006161-18; MMR-162; NCT02184572,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",203343,"AUGUST   , 25, 2014",Completed
1+,Anti-Clostridium tetani antibodies; Anti-polyribitol phosphate antibodies; Body temperature; Immunoglobulin G,Measles virus infection,null,Phase 2 Clinical,C2,Infanrix Quinta,17674,189,Bexsero; Infanrix-DTaP-IPV-Hib; Menitorix; Prevnar 13; Priorix; Rotarix,213,Sched3,Baby Vaccine Study,2015-000817-32; NCT02482636; OVG2015/03; Sched3,"Bill & Melinda Gates Foundation, National Institute for Health Research (NIHR), University of Oxford",233238,"AUGUST   , 31, 2015",No longer recruiting
1+,null,Measles virus infection,null,Phase 2 Clinical,C2,Vaxem HIB,84867,216,MenACWY-CRM; Pediacel; Prevnar; Priorix; Vaxem HIB,216,null,B Cell Response to a Primary and a Booster Course of the Novartis Meningococcal ACWY Conjugate Vaccine in Healthy Infants,2006-003476-35; NCT00488683; V59P16,Novartis AG,10223,"JULY     , 31, 2007",Completed
1,null,Measles virus infection,null,Phase 1/Phase 2 Clinical,C12,JVC-001,99518,null,JVC-001,100,null,"Non-blind, randomized trial to evaluate the safety and immunogenicity of JVC-001 intended for Japanese healthy children",JapicCTI-153031,Japan Vaccine Co Ltd,244020,"OCTOBER  , 05, 2015",Recruiting
3,Anti-Chikungunya virus antibodies; Anti-Measles antibodies; Mononuclear leukocytes; T-Lymphocytes,Measles virus infection,Priorix,Phase 2 Clinical,C2,MV-CHIK,75100,263,MV-CHIK; MV-CHIK; Priorix,263,null,Phase II Study to Evaluate Safety and Immunogenicity of a Chikungunya Vaccine,2015-004037-26; MV-CHIK-202; NCT02861586,Themis Bioscience GmbH,268409,"AUGUST   , 17, 2016",Completed
2,Body temperature,Measles virus infection,null,Phase 3 Clinical,C3,Vaqta,3263,1800,ProQuad; Vaqta,1800,null,"Hepatitis A Vaccine, Inactivated and Measles, Mumps, Rubella and Varicella Virus Vaccine Live Safety Study",2006_023; NCT00326183; V251-066,Merck & Co Inc,11511,"MARCH    , 31, 2007",Completed
1+,Anti-Clostridium tetani antibodies; Anti-Corynebacterium diphtheriae antibodies; Anti-Hepatitis B virus antibodies; Anti-Meningitis A virus antibodies; Anti-Meningitis C virus antibodies; Anti-Meningitis Y virus antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies; Anti-polyribitol phosphate antibodies; Anti-polyribosylribitol phosphate,Measles virus infection,M-M-RvaxPRO; Nimenrix; Prevnar 13; RotaTeq; V-419,Phase 3 Clinical,C3,Nimenrix,55366,350,M-M-RvaxPRO; NeisVac-C; Nimenrix; Prevnar 13; RotaTeq; V-419,312,null,Concomitant Administration of a New Hexavalent Vaccine With a Meningococcal Serogroup C Conjugate Vaccine in Healthy Infants During Primary Series Immunization Followed by Booster Vaccination,2012-005547-24; EUCTR2012-005547-24; HXM01C; NCT01839175,"Sanofi Pasteur MSD, Sanofi SA",124248,"APRIL    , 30, 2013",Completed
2,Anti-Measles antibodies; Anti-Parotitis virus antibodies; Anti-Rubella antibodies; Body temperature,Measles virus infection,M-M-R II,Phase 3 Clinical,C3,M-M-R II,3643,996,Priorix,869,null,"Immunogenicity and Safety of GSK Biologicals Combined Measles-Mumps-Rubella Vaccine in Volunteers, 7 Years of Age and Older",115231; 2011-003672-36; 209762; MMR-159; NCT02058563,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",172270,"JULY     , 01, 2014",Completed
1+,Anti-Measles antibodies; Anti-Parotitis virus antibodies; Anti-Rubella antibodies; Body temperature,Measles virus infection,Havrix; M-M-R II; Prevnar 13; Varivax,Phase 3a Clinical,C3A,varicella-zoster vaccine (Varivax/Zostavax),4645,4538,Havrix; Prevnar 13; Priorix; Varivax,4538,null,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biological's Combined Measles-mumps-rubella (MMR) Vaccine in Children in Their Second Year of Life,115649; 15049; 2011-004905-26; MMR-161; NCT01681992; NMRR-13-165-15049,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",91153,"OCTOBER  , 10, 2012",Completed
4+,null,Measles virus infection,Infanrix hexa; ProQuad,Phase 3b Clinical,C3B,Infanrix HeXa,17821,955,Infanrix hexa; ProQuad,955,null,Immunogenicity and Safety Study of Proquad and Infanrix Hexa When Administered Concomitantly,2006-004129-27; NCT00432042; V221-035; X06-MMRV-302,Merck Sharp & Dohme Corp,10599,"JANUARY  , 12, 2007",Completed
