ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
1+,ALK receptor; B-Raf proto-oncogene serine/threonine-protein kinase; Epidermal growth factor receptor; Programmed cell death 1 ligand 1,Metastatic non small cell lung cancer,null,Phase 1b Clinical,C1B,bempegaldesleukin,77588,75,NKTR-214; atezolizumab; pembrolizumab,75,PROPEL,A Study of a CD122-Biased Cytokine (NKTR-214) in Combination With Anti-PD-1 (Pembrolizumab) and of NKTR-214 in Combination With Anti-PD-L1 (Atezolizumab) in Patients With Select Advanced or Metastatic Solid Tumors,16-214-05; NCT03138889; PROPEL,Nektar Therapeutics,296922,"JUNE     , 09, 2017",Recruiting
1+,ALK receptor; B-Raf proto-oncogene serine/threonine-protein kinase; Cytotoxic T-Lymphocytes; Epidermal growth factor receptor; Inducible T-cell costimulator; Programmed cell death 1 ligand 1; T-Helper Lymphocytes; T-cell surface glycoprotein CD4; T-cell surface glycoprotein CD8 alpha chain,Brain tumor,null,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,480,Halaven; NKTR-214; NKTR-214 + Opdivo; Opdivo; Yervoy; carboplatin; cisplatin; nab-paclitaxel; paclitaxel; pemetrexed disodium,283,PIVOT-02,A Dose-Escalation and Cohort Expansion Study of CD122-Biased Cytokine (NKTR-214) in Combination With Anti-PD-1 Antibody (Nivolumab) in Patients With Select Advanced or Metastatic Solid Tumors,16-214-02; 2016-003543-11; NCT02983045; PIVOT-02,Nektar Therapeutics,281291,"OCTOBER  , 31, 2016",Recruiting
1,Monocytes,Stage IV melanoma,null,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,null,NKTR-214; entinostat,null,null,"A phase Ib/II trial to evaluate the safety and efficacy of NKTR-214 in combination with entinostat, in patients with metastatic melanoma who have previously progressed on treatment with an anti-PD-1 (programmed death receptor-1) agent",ENCORE 606,Syndax Pharmaceuticals Inc,341373,"JUNE     , 30, 2019",Planned
1,Antigen KI-67; Chemokines; Cytokines; Granzyme B; Interferon gamma; Interleukin-2 receptor alpha chain ; Lymphocytes; Natural killer cells; Perforin-1; Programmed cell death protein 1; T-Lymphocytes; T-cell surface glycoprotein CD4; T-cell surface glycoprotein CD8 alpha chain; Tumor mass; Tumor-Infiltrating Lymphocytes,Sarcoma,null,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,40,NKTR-214,28,null,"A Phase I/II, Multicenter, Dose-Escalation and Expansion Study Of NKTR-214 In Subjects With Locally Advanced Or Metastatic Solid Tumors",15-214-01; 2015-0573; 2016-001134-10; NCT02869295,Nektar Therapeutics,268769,"DECEMBER , 31, 2015",Completed
1+,ALK receptor; B-Raf proto-oncogene serine/threonine-protein kinase; Cytotoxic T-Lymphocytes; Epidermal growth factor receptor; Inducible T-cell costimulator; Programmed cell death 1 ligand 1; T-Helper Lymphocytes; T-cell surface glycoprotein CD4; T-cell surface glycoprotein CD8 alpha chain,Metastatic bladder cancer,null,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,480,Halaven; NKTR-214; NKTR-214 + Opdivo; Opdivo; Yervoy; carboplatin; cisplatin; nab-paclitaxel; paclitaxel; pemetrexed disodium,283,PIVOT-02,A Dose-Escalation and Cohort Expansion Study of CD122-Biased Cytokine (NKTR-214) in Combination With Anti-PD-1 Antibody (Nivolumab) in Patients With Select Advanced or Metastatic Solid Tumors,16-214-02; 2016-003543-11; NCT02983045; PIVOT-02,Nektar Therapeutics,281291,"OCTOBER  , 31, 2016",Recruiting
1+,ALK receptor; B-Raf proto-oncogene serine/threonine-protein kinase; Cytotoxic T-Lymphocytes; Epidermal growth factor receptor; Inducible T-cell costimulator; Programmed cell death 1 ligand 1; T-Helper Lymphocytes; T-cell surface glycoprotein CD4; T-cell surface glycoprotein CD8 alpha chain,Metastatic breast cancer,null,Phase 1/Phase 2 Clinical,C12,bempegaldesleukin,77588,480,Halaven; NKTR-214; NKTR-214 + Opdivo; Opdivo; Yervoy; carboplatin; cisplatin; nab-paclitaxel; paclitaxel; pemetrexed disodium,283,PIVOT-02,A Dose-Escalation and Cohort Expansion Study of CD122-Biased Cytokine (NKTR-214) in Combination With Anti-PD-1 Antibody (Nivolumab) in Patients With Select Advanced or Metastatic Solid Tumors,16-214-02; 2016-003543-11; NCT02983045; PIVOT-02,Nektar Therapeutics,281291,"OCTOBER  , 31, 2016",Recruiting
1+,B-CLL cells; IL-2,Chronic lymphocytic leukemia,null,Phase 1 Clinical,C1,"autologous IL2 and CD40 ligand-expressing tumor cells (B-CLL), Baylor College of Medicine",45937,2,"IL-2/CD40L-expressing leukemia vaccine, Baylor College of Medicine/Maxcyte; allopurinol; lenalidomide",2,TAIL,Treatment of B-CLL With Autologous IL2 and CD40 Ligand-Expressing Tumor Cells + Lenalidomide,H-30087 TAIL; NCT01604031; TAIL,Baylor College of Medicine,87716,"FEBRUARY , 28, 2013",Terminated
2,Creatinine; Cytokines; Cytotoxic T-Lymphocytes; Interferon gamma; Interleukin-6; Leukocyte count; Lymphocytes; Mononuclear leukocytes; Natural killer cells; Neutrophils; Regulatory T-Lymphocytes; T-cell surface glycoprotein CD8 alpha chain,Uterus tumor,null,Phase 1/Phase 2 Clinical,C12,ALKS-4230,86441,300,ALKS-4230; ALKS-4230; pembrolizumab,36,ARTISTRY-1,A Study of the Effects of ALKS-4230 on Subjects With Solid Tumors,ALK4230-A101; ARTISTRY-1; NCT02799095,Alkermes plc,263216,"JULY     , 31, 2016",Recruiting
2,Creatinine; Cytokines; Cytotoxic T-Lymphocytes; Interferon gamma; Interleukin-6; Leukocyte count; Lymphocytes; Mononuclear leukocytes; Natural killer cells; Neutrophils; Regulatory T-Lymphocytes; T-cell surface glycoprotein CD8 alpha chain,Transitional cell carcinoma,null,Phase 1/Phase 2 Clinical,C12,ALKS-4230,86441,300,ALKS-4230; ALKS-4230; pembrolizumab,36,ARTISTRY-1,A Study of the Effects of ALKS-4230 on Subjects With Solid Tumors,ALK4230-A101; ARTISTRY-1; NCT02799095,Alkermes plc,263216,"JULY     , 31, 2016",Recruiting
2,Programmed cell death 1 ligand 1; Programmed cell death 1 ligand 1,Metastasis,carboplatin; gemcitabine,Phase 2 Clinical,C2,bempegaldesleukin,77588,165,NKTR-214; nivolumab,165,PIVOT-10,A Randomized Study of NKTR-214 Plus Nivolumab and of Reference Chemotherapy in Cisplatin Ineligible Patients Who Have Locally Advanced or Metastatic Urothelial Cancer With Low PD-L1 Expression,18-214-10; CA045-012; NCT03785925; PIVOT-10,Nektar Therapeutics,364590,"APRIL    , 29, 2019",Recruiting
