Ancestry,DevStatus,DevStatusId,Drug,DrugId,Endpoint,Indication,IndicationId,OriginatorSponsored,Patients,ProtocolTitle,TrialEndDateActual,TrialEndDateCalc,TrialEndDateEstimate,TrialEndDateGiven,TrialId,TrialStartDate,TrialStatus
null,Phase 1/Phase 2 Clinical,C12,Multikine,7401,"Safety,Efficacy",Head and neck tumor,623,Y,30,"A phase I/II, open-label, randomized, dose-ranging study to assess optimum dose, safety,and efficacy of Multikine in head and neck cancer patients",null,2000-06-12 00:00:00,null,null,41757,1996-07-09 00:00:00,Recruiting
null,Phase 1/Phase 2 Clinical,C12,Multikine,7401,Efficacy,Head and neck tumor,623,Y,54,"A phase I/II, multi-center, clinico-pathological study of Multikine in patients with advanced primary oral squamous cell carcinoma",null,2002-12-02 00:00:00,null,null,41872,1998-12-03 00:00:00,Completed
null,Phase not specified,NS,AFTVac,55115,Efficacy,Metastatic breast cancer,3657,N,1,A case study of bone-metastatic breast cancer with autologous formalin-fixed tumor vaccine,null,null,null,null,130015,null,Status not specified
null,Phase 1 Clinical,C1,tucotuzumab celmoleukin,21065,"Safety,Efficacy,Pharmacokinetics",Lung tumor,755,N,24,"Interleukin-2 combined with monoclonal antibody therapy in treating patients with kidney, bladder, or lung cancer that has not responded to previous treatment",null,2004-05-02 00:00:00,null,null,28011,2000-12-31 00:00:00,Completed
null,Phase 3 Clinical,C3,Multikine,7401,"Safety,Efficacy",Metastatic head and neck cancer,3673,Y,928,"Efficacy and Safety Study of Leukocyte Interleukin, Injection (LI) to Treat Cancer of the Oral Cavity",null,2014-12-20 00:00:00,2019-09-30 00:00:00,2019-09-30 00:00:00,73333,2010-12-31 00:00:00,No longer recruiting
null,Phase 2 Clinical,C2,tucotuzumab celmoleukin,21065,"Safety,Efficacy",Small-cell lung cancer,1261,N,108,"A phase II, multicenter, randomized, open-label, parallel-group study to assess the safety and efficacy of EMD-273066 following low-dose cyclophosphamide compared to supportive care alone in patients with small cell lung cancer",2010-12-31 00:00:00,2010-09-02 00:00:00,null,2010-12-31 00:00:00,89159,2007-03-06 00:00:00,Completed
null,Phase 3 Clinical,C3,"interleukin-2 follow-on-biologic, Zenotech",79967,"Safety,Efficacy",Renal cell carcinoma,1766,Y,null,"A multicenter, phase III, safety and efficacy study of interleukin-2 follow-on-biologic, Zenotech in patients with renal cell carcinoma",null,2008-09-17 00:00:00,null,null,271068,2005-03-31 00:00:00,Status not specified
null,Phase 1/Phase 2 Clinical,C12,ALKS-4230,86441,"Safety,Efficacy,Pharmacokinetics,Pharmacodynamics",Mesothelioma,1240,Y,36,A Study of the Effects of ALKS-4230 on Subjects With Solid Tumors,null,2020-03-25 00:00:00,2021-09-30 00:00:00,2021-09-30 00:00:00,263216,2016-07-31 00:00:00,Recruiting
null,Phase 1/Phase 2 Clinical,C12,ALKS-4230,86441,"Safety,Efficacy,Pharmacokinetics,Pharmacodynamics",Metastatic esophageal cancer,3667,Y,36,A Study of the Effects of ALKS-4230 on Subjects With Solid Tumors,null,2020-03-25 00:00:00,2021-09-30 00:00:00,2021-09-30 00:00:00,263216,2016-07-31 00:00:00,Recruiting
null,Phase 1/Phase 2 Clinical,C12,ALKS-4230,86441,"Safety,Efficacy,Pharmacokinetics,Pharmacodynamics",Metastatic ovary cancer,3866,Y,36,A Study of the Effects of ALKS-4230 on Subjects With Solid Tumors,null,2020-03-25 00:00:00,2021-09-30 00:00:00,2021-09-30 00:00:00,263216,2016-07-31 00:00:00,Recruiting
