Action,ActionId,AuthorityGroup,Company,CompanyId,Country,CountryId,Drug,DrugId,EntityType,HighestDevStatus,HighestDevStatusForInd,HighestDevStatusForIndId,HighestDevStatusId,Indication,IndicationId,IsActiveCompany,LatestChange,ParentCompany,ParentCompanyId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
Methionine aminopeptidase-2 inhibitor,12641,LOCAL_AND_MAJOR,SynDevRx Inc,1036908,US,US,SDX-7320,73940,Chemical,Discovery,Discovery,DR,DR,Cancer,651,true,2013-11-06 00:00:00,SynDevRx Inc,1036908,Discovery,2011-01-12 00:00:00,DR,6,Neoplasm,230
Methionine aminopeptidase-2 inhibitor,12641,LOCAL_AND_MAJOR,Zafgen Inc,1043431,US,US,ZGN-839,90651,Chemical,Discovery,Discovery,DR,DR,Non alcoholic fatty liver disease,3288,true,2014-04-18 00:00:00,Zafgen Inc,1043431,Discovery,2014-04-18 00:00:00,DR,6,Gastrointestinal disease,129
Methionine aminopeptidase-2 inhibitor,12641,LOCAL_AND_MAJOR,Zafgen Inc,1043431,US,US,"beloranib hemioxalate (obesity), Zafgen",61782,Chemical,Discontinued,No Development Reported,NDR,DX,Obesity,238,false,2014-03-31 00:00:00,Zafgen Inc,1043431,No Development Reported,2014-03-31 00:00:00,NDR,2,Nutritional disorder,684
Methionine aminopeptidase-2 inhibitor,12641,OTHER,Zafgen Inc,1043431,Australia,AU,"beloranib hemioxalate (obesity), Zafgen",61782,Chemical,Discontinued,No Development Reported,NDR,DX,Obesity,238,false,2014-03-31 00:00:00,Zafgen Inc,1043431,No Development Reported,2014-03-31 00:00:00,NDR,2,Nutritional disorder,684
Methionine aminopeptidase-2 inhibitor,12641,LOCAL_AND_MAJOR,IDRTech Inc,30764,South Korea,KR,IDR-805,45864,Chemical,No Development Reported,No Development Reported,NDR,NDR,Cancer,651,false,2014-12-04 00:00:00,Equis & Zaroo Co Ltd,1031550,Discovery,2003-07-15 00:00:00,DR,6,Neoplasm,230
Methionine aminopeptidase-2 inhibitor,12641,LOCAL_AND_MAJOR,Equis & Zaroo Co Ltd,1031550,South Korea,KR,IDR-805,45864,Chemical,No Development Reported,No Development Reported,NDR,NDR,Cancer,651,false,2014-12-04 00:00:00,Equis & Zaroo Co Ltd,1031550,No Development Reported,2014-12-04 00:00:00,NDR,2,Neoplasm,230
Leucyl cystinyl aminopeptidase inhibitor,21816,LOCAL_AND_MAJOR,St Vincents Hospital (Melbourne) Ltd,21104,Australia,AU,"IRAP inhibitors (cardiovascular diseases/CNS diseases), University of Florey Institute/Monash University/University of Melbourne/ St Vincent's Institute of Medical Research/ Bio-Link",75789,Chemical,No Development Reported,No Development Reported,NDR,NDR,Central nervous system disease,60,false,2014-05-28 00:00:00,St Vincents Hospital (Melbourne) Ltd,21104,No Development Reported,2014-05-28 00:00:00,NDR,2,Neurological disease,677
Methionine aminopeptidase inhibitor,9287,LOCAL_AND_MAJOR,Novartis Pharmaceuticals Corp,24818,US,US,"MetAp inhibitor, Novartis",37189,Chemical,No Development Reported,No Development Reported,NDR,NDR,Cancer,651,false,2007-09-09 00:00:00,Novartis AG,23137,No Development Reported,2007-09-09 00:00:00,NDR,2,Neoplasm,230
Aminopeptidase inhibitor,52,LOCAL_AND_MAJOR,Loyola University of Chicago,20610,US,US,apstatin,16230,Chemical,No Development Reported,No Development Reported,NDR,NDR,Unidentified indication,1005,false,2011-02-17 00:00:00,Loyola University of Chicago,20610,No Development Reported,2011-02-17 00:00:00,NDR,2,Unidentified indication,1005
Aminopeptidase inhibitor,52,LOCAL_AND_MAJOR,Tokyo University,20686,Japan,JP,"aminopeptidase inhibitors, Tokyo University",25733,Chemical,No Development Reported,No Development Reported,NDR,NDR,Cancer,651,false,2008-04-28 00:00:00,Tokyo University,20686,No Development Reported,2008-04-28 00:00:00,NDR,2,Neoplasm,230
Aminopeptidase inhibitor,52,LOCAL_AND_MAJOR,Takeda Pharmaceutical Co Ltd,20300,US,US,TNP-470,2441,Chemical,Discontinued,Discontinued,DX,DX,Kaposis sarcoma,936,false,2002-07-26 00:00:00,Takeda Pharmaceutical Co Ltd,20300,Discontinued,2001-12-31 00:00:00,DX,3,Dermatological disease,95
Aminopeptidase inhibitor,52,LOCAL_AND_MAJOR,Takeda Pharmaceutical Co Ltd,20300,US,US,TNP-470,2441,Chemical,Discontinued,Discontinued,DX,DX,Cancer,651,false,2002-07-26 00:00:00,Takeda Pharmaceutical Co Ltd,20300,Discontinued,2001-12-31 00:00:00,DX,3,Neoplasm,230
Aminopeptidase inhibitor,52,LOCAL_AND_MAJOR,Takeda Pharmaceutical Co Ltd,20300,US,US,TNP-470,2441,Chemical,Discontinued,Discontinued,DX,DX,Uterine cervix tumor,427,false,2002-07-26 00:00:00,Takeda Pharmaceutical Co Ltd,20300,Discontinued,2001-12-31 00:00:00,DX,3,Gynecology and obstetrics,1521
