Action,ActionId,AuthorityGroup,Company,CompanyId,CompanyOwnershipRelationship,Country,CountryId,Drug,DrugId,DrugRelationship,EntityType,HighestPatStatus,HighestPatStatusForCnty,HighestPatStatusId,HighestPatStatusIdForCnty,Indication,IndicationId,LatestChange,ParentCompany,ParentCompanyId,Patent,PatentId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune disorder,185,null,Academia Sinica,28429,US-07691575,PA3471716,Extension,2025-11-12 00:00:00,EXT,4,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune deficiency,504,null,Academia Sinica,28429,US-07691575,PA3471716,Extension,2025-11-12 00:00:00,EXT,4,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune disorder,185,null,Academia Sinica,28429,US-07691575,PA3471716,Granted,2010-04-06 00:00:00,GRT,3,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune deficiency,504,null,Academia Sinica,28429,US-07691575,PA3471716,Granted,2010-04-06 00:00:00,GRT,3,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune disorder,185,null,Academia Sinica,28429,US-07691575,PA3471716,First Publication,2007-03-01 00:00:00,PUB,2,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune deficiency,504,null,Academia Sinica,28429,US-07691575,PA3471716,First Publication,2007-03-01 00:00:00,PUB,2,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune disorder,185,null,Academia Sinica,28429,US-07691575,PA3471716,First Priority,2005-08-29 00:00:00,PRI,1,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Owner,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune deficiency,504,null,Academia Sinica,28429,US-07691575,PA3471716,First Priority,2005-08-29 00:00:00,PRI,1,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Third Party,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune disorder,185,null,Academia Sinica,28429,US-07691575,PA3471716,Extension,2025-11-12 00:00:00,EXT,4,Immune disorder,185
IL-2 receptor agonist,221,null,Academia Sinica,28429,Third Party,US,US,null,null,null,null,Extension,Extension,EXT,EXT,Immune deficiency,504,null,Academia Sinica,28429,US-07691575,PA3471716,Extension,2025-11-12 00:00:00,EXT,4,Immune disorder,185
