Action,ActionId,AuthorityGroup,Company,CompanyId,CompanyOwnershipRelationship,Country,CountryId,Drug,DrugId,DrugRelationship,EntityType,HighestPatStatus,HighestPatStatusForCnty,HighestPatStatusId,HighestPatStatusIdForCnty,Indication,IndicationId,LatestChange,ParentCompany,ParentCompanyId,Patent,PatentId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Inflammatory disease,188,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Inflammatory disease,188
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Inflammatory bowel disease,189,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Inflammatory disease,188
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Multiple sclerosis,213,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Immune disorder,185
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Psoriasis,281,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Dermatological disease,95
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Rheumatoid arthritis,291,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Immune disorder,185
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Systemic lupus erythematosus,318,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Dermatological disease,95
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Ulcerative colitis,337,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Immune disorder,185
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Cancer,651,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Neoplasm,230
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Infectious disease,746,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Infectious disease,746
VEGF ligand inhibitor,12521,null,Zyngenia Inc,1050617,Owner,World,WO,"adalimumab + anti-Ang2 Zybody (inflammatory disease), Zyngenia",71794,General interest,null,First Publication,First Publication,PUB,PUB,Crohns disease,84,null,Zyngenia Inc,1050617,WO-2012162561,PA7191557,First Publication,2012-11-29 00:00:00,PUB,2,Immune disorder,185
