Ancestry,ArmCount,DevStatus,DevStatusId,Drug,DrugId,Endpoint,EndpointReached,HasHealthyVolunteers,HighestDevStatusForInd,HighestDevStatusForIndId,Indication,IndicationId,ProtocolAcronym,ProtocolTitle,Sponsor,StudyType,TrialId,TrialStartDate,TrialStatus
null,1,Phase 0 Clinical,C0,sildenafil citrate,8713,Efficacy,N,N,PHASE NOT SPECIFIED,NS,Migraine with aura,3679,null,Induction of Migraine Aura With Sildenafil,Herlev Hospital Region Hovedstaden,Interventional,262969,2015-06-30 00:00:00,Recruiting
null,1,Phase 0 Clinical,C0,sildenafil citrate,8713,"Safety,Efficacy",N,N,PHASE NOT SPECIFIED,NS,Acral erythema,6832,null,Topical Sildenafil as Pre-Treatment for Hand-Foot Skin Reaction,Northwestern University,Interventional,306445,2017-04-11 00:00:00,Recruiting
null,1,Phase 1b Clinical,C1B,sildenafil citrate,8713,"Safety,Efficacy,Pharmacokinetics,Pharmacodynamics",N,N,PHASE NOT SPECIFIED,NS,Asphyxia,2524,SANE,Sildenafil Administration to Treat Neonatal Encephalopathy,McGill University Health Center,Interventional,264172,2016-07-31 00:00:00,Recruiting
null,1,Phase 1/Phase 2 Clinical,C12,sildenafil citrate,8713,"Safety,Efficacy,Pharmacokinetics",N,N,Launched,L,Pulmonary artery hypertension,3510,SPPPH,Evaluation of Sildenafil in Treatment of Pediatrics Pulmonary Hypertension,Mazandaran University of Medical Sciences,Interventional,118705,2009-09-02 00:00:00,No longer recruiting
null,1,Phase 1/Phase 2 Clinical,C12,sildenafil citrate,8713,"Safety,Efficacy,Pharmacokinetics",N,Y,PHASE NOT SPECIFIED,NS,Pulmonary hypertension,1867,SToP-PH,"A phase I/IIb, randomized, investigator-blinded, double-armed, parallel-group study evaluate the placenta transfer and safety of antenatal sildenafil administration to prevent pulmonary hypertension in congenital diaphragmatic hernia",UZ Leuven-University Hospitals,Interventional,366985,null,Status not specified
null,1,Phase 2a Clinical,C2A,sildenafil citrate,8713,"Safety,Efficacy",Y,N,PHASE NOT SPECIFIED,NS,Pulmonary hypertension,1867,COMPARE,Combination therapy for Pulmonary hypertension using Racecadotril (COMPARE),University of London,Interventional,173579,2013-06-07 00:00:00,Completed
null,1,Phase 2/Phase 3 Clinical,C23,sildenafil citrate,8713,"Safety,Efficacy",N,N,PHASE NOT SPECIFIED,NS,Pulmonary hypertension,1867,null,Phosphodiesterase-5 (PDE5) Inhibition and Pulmonary Hypertension in Diastolic Heart Failure,Universita degli Studi di Milano,Interventional,68008,2006-01-31 00:00:00,Completed
null,2,Phase 2/Phase 3 Clinical,C23,sildenafil citrate,8713,Efficacy,N,N,PHASE NOT SPECIFIED,NS,Pulmonary hypertension,1867,CRONOS,Comparison of inhaled nebulized nitrite and oral sildenafil versus oral sildenafil alone in the treatment of beta-thalassemia patients with pulmonary hypertension,"Mahidol University, The Cooley’s Anemia Foundation",Interventional,353763,2018-08-01 00:00:00,Recruiting
null,1,Phase 2/Phase 3 Clinical,C23,sildenafil citrate,8713,"Safety,Efficacy",N,N,Launched,L,Pulmonary artery hypertension,3510,null,Effects of phosphodiesterase V (sildenafil) on pulmonary arterial hypertension,The University of Tokyo Hospital,Interventional,122475,2007-01-01 00:00:00,Recruiting
null,1,Phase 2/Phase 3 Clinical,C23,sildenafil citrate,8713,"Safety,Efficacy",N,N,PHASE NOT SPECIFIED,NS,Intermittent claudication,1865,null,Reduced Cardiovascular Morbi-mortality by Sildenafil in Patients With Arterial Claudication,"University Hospital, Angers",Interventional,224391,2015-09-30 00:00:00,Not yet recruiting
