Ancestry,DevStatus,DevStatusId,Drug,DrugId,Endpoint,Indication,IndicationId,OriginatorSponsored,Patients,ProtocolTitle,TrialEndDateActual,TrialEndDateCalc,TrialEndDateEstimate,TrialEndDateGiven,TrialId,TrialStartDate,TrialStatus
null,Phase 2a Clinical,C2A,SQ-109,31010,"Safety,Efficacy,Pharmacokinetics",Mycobacterium tuberculosis infection,221,N,90,EBA of SQ-109 in Adult Subjects with Pulmonary TB,2012-05-31 00:00:00,2013-03-21 12:00:00,null,2012-05-31 00:00:00,71188,2010-11-30 00:00:00,Completed
Japanese Ancestry,Phase Not Applicable,PNA,moxifloxacin,12978,"Pharmacokinetics,Pharmacodynamics",Mycobacterium tuberculosis infection,221,N,39,The Effect of Ethnic on Moxifloxacin Induced QT Interval Prolongation in Korean and Japanese Healthy Subjects,2013-01-31 00:00:00,2013-06-02 00:00:00,null,2013-01-31 00:00:00,139433,2011-11-30 00:00:00,Completed
null,Phase 3 Clinical,C3,ofloxacin,52139,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,N,420,Randomized Clinical Trial to Study the Efficacy and Tolerability of a 4-Month Regimen Containing Ofloxacin Compared to the Standard 6-Month Regimen in the Treatment of Patients with Superficial Lymphnode Tuberculosis,null,2015-02-09 12:00:00,null,null,142516,2012-10-20 00:00:00,Recruiting
null,Phase 2b Clinical,C2B,bedaquiline,51310,"Safety,Efficacy,Pharmacokinetics",Mycobacterium tuberculosis infection,221,N,240,"A Phase II to Evaluate the Efficacy, Safety and Tolerability of Combinations of Bedaquiline, Moxifloxacin, PA-824 and Pyrazinamide in Adult Subjects With Drug-Sensitive or Multi Drug-Resistant Pulmonary Tuberculosis",2018-02-07 00:00:00,2017-02-11 12:00:00,null,2018-02-07 00:00:00,210646,2014-10-23 00:00:00,Completed
null,Phase 2 Clinical,C2,HE-2000,19980,Efficacy,Mycobacterium tuberculosis infection,221,N,25,"A phase II pilot, placebo-controlled study to evaluate the efficacy of HE-2000 on opportunistic infections such as tuberculosis (TB) in late-stage AIDS patients",null,2004-03-06 12:00:00,null,null,9820,2002-02-04 00:00:00,Status not specified
null,Phase 1 Clinical,C1,MVA-85A,55317,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,Y,214,"Safety, Immunogenicity and Impact of MVA-85A, on the Immunogenicity of the EPI Vaccines",2009-12-31 00:00:00,2009-02-19 12:00:00,null,2009-12-31 00:00:00,52375,2006-10-31 00:00:00,Completed
null,Phase 1 Clinical,C1,MVA-85A,55317,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,Y,12,"A Phase I Study of the Safety and Immunogenicity of a Recombinant MVA Vaccine Encoding a Secreted Antigen From M Tuberculosis, Antigen 85A, Delivered Intradermally by a Needle Injection in Healthy Volunteers Who Have Received BCG Immunisation 1 Month Previously",2005-03-31 00:00:00,2005-10-19 12:00:00,null,2005-03-31 00:00:00,10873,2003-06-30 00:00:00,Completed
null,Phase 1 Clinical,C1,MVA-85A,55317,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,Y,24,"A Study of two Doses of a New TB Vaccine, MVA85A, in Healthy Volunteers Previously Vaccinated With BCG",2007-09-30 00:00:00,2008-02-20 12:00:00,null,2007-09-30 00:00:00,10944,2005-10-31 00:00:00,Completed
null,Phase not specified,NS,stavudine,4481,"Safety,Efficacy,Pharmacokinetics",Mycobacterium tuberculosis infection,221,N,18,"A prospective, open-label, pilot study to evaluate the pharmacokinetics (PK)/safety/efficacy of an adjusted dose of indinavir/ritonavir (IDV/r) 600/100 mg plus two nucleoside reverse transcriptase inhibitors (NRTIs) in HIV/TB-coinfected Thais receiving rifampicin-based anti-TB treatment",null,2014-03-24 12:00:00,null,null,100728,2012-01-17 00:00:00,Status not specified
null,Phase not specified,NS,lamivudine,3474,"Safety,Efficacy,Pharmacokinetics",Mycobacterium tuberculosis infection,221,N,18,"A prospective, open-label, pilot study to evaluate the pharmacokinetics (PK)/safety/efficacy of an adjusted dose of indinavir/ritonavir (IDV/r) 600/100 mg plus two nucleoside reverse transcriptase inhibitors (NRTIs) in HIV/TB-coinfected Thais receiving rifampicin-based anti-TB treatment",null,2014-03-24 12:00:00,null,null,100728,2012-01-17 00:00:00,Status not specified
null,Phase 1 Clinical,C1,"Ag85B-ESAT-6 vaccine (IC31 adjuvant, tuberculosis), SSI/ Valneva",53784,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,Y,20,A Safety and Immunogenicity Trial With an Adjuvanted Tuberculosis (TB) Subunit Vaccine in Purified Protein Derivative (PPD) Positive Volunteers,2009-06-30 00:00:00,2010-01-19 12:00:00,null,2009-06-30 00:00:00,58503,2007-09-30 00:00:00,Completed
null,Phase 2 Clinical,C2,bedaquiline,51310,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,Y,47,"A phase II, randomized, placebo-controlled study assessing the safety and efficacy of TMC-207 in patients with multidrug-resistant tuberculosis",null,2011-09-23 12:00:00,null,null,57685,2009-06-03 00:00:00,Recruiting
null,Phase 2b Clinical,C2B,moxifloxacin,12978,"Safety,Efficacy,Pharmacokinetics",Mycobacterium tuberculosis infection,221,N,240,"A Phase II to Evaluate the Efficacy, Safety and Tolerability of Combinations of Bedaquiline, Moxifloxacin, PA-824 and Pyrazinamide in Adult Subjects With Drug-Sensitive or Multi Drug-Resistant Pulmonary Tuberculosis",2018-02-07 00:00:00,2017-02-11 12:00:00,null,2018-02-07 00:00:00,210646,2014-10-23 00:00:00,Completed
null,Phase 1 Clinical,C1,moxifloxacin,12978,"Safety,Bioavailability,Pharmacokinetics",Mycobacterium tuberculosis infection,221,Y,24,"Bioavailability, Food Effect and Safety, Tolerability of a New Oral Suspension in Comparison to the Marketed Moxifloxacin Tablet in Healthy Adults",2011-01-31 00:00:00,2011-12-02 00:00:00,null,2011-01-31 00:00:00,198748,2010-05-31 00:00:00,Completed
null,Phase 2/Phase 3 Clinical,C23,"MTB72F vaccine (tuberculosis), GSK/ IAVI",9490,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,N,3573,Study to Evaluate the Efficacy of GlaxoSmithKline (GSK) Biologicals' Candidate Tuberculosis (TB) Vaccine in Healthy Adults,2018-11-16 00:00:00,2016-12-08 12:00:00,null,2018-11-16 00:00:00,102580,2014-08-19 00:00:00,Completed
null,Phase 2 Clinical,C2,RUTI,57308,"Safety,Efficacy",Mycobacterium tuberculosis infection,221,Y,90,"Clinical Trial to Investigate the Safety, Tolerability, and Immunogenicity of the Novel Antituberculous Vaccine RUTI Following 1 Month of Isoniazid Treatment in Subjects With Latent Tuberculosis Infection",2011-05-31 00:00:00,2012-10-19 12:00:00,null,2011-05-31 00:00:00,67014,2010-06-30 00:00:00,Completed
null,Phase 4 Clinical,C4,tenofovir disoproxil fumarate,14493,Safety,Mycobacterium tuberculosis infection,221,N,156,Appropriate Timing of HAART in Co-infected HIV/TB Patients,2011-05-31 00:00:00,2012-03-31 00:00:00,2013-10-31 00:00:00,2011-05-31 00:00:00,61991,2009-10-31 00:00:00,Terminated
null,Phase 2b Clinical,C2B,lopinavir + ritonavir,14681,"Safety,Efficacy,Pharmacokinetics",Mycobacterium tuberculosis infection,221,N,71,Rifampin-Based Tuberculosis Treatment Versus Rifabutin-Based Tuberculosis Treatment in Persons With HIV,2017-06-28 00:00:00,2015-12-12 00:00:00,null,2017-06-28 00:00:00,87585,2013-07-13 00:00:00,Terminated
